stage,epidermis,ionocyte,neural,olfactory
 24-34,0,0,1.87,0
 36-46,2.43,0,0,0.95
 60-70,2.44,0,2.4,0
 72-82,0,3.98,0,0
 84-94,1.16,0,0,0
 96-106,0.61,0,0,0
108-118,0.49,0,0,0
120,2.86,0,0,0
