stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,30.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.98,6.83,0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.7,3.27,0,0,941.17,0,0,0,0,0,0,0,0,0,0
 10-12,18.48,18.83,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6,0,0,0,1104.1,0,9.31,0,0,22.46,0,0,0,0,0
 14-21,0,0,44.31,3.33,0,0.81,0,0,0,0.92,0.82,0,0,0,0,1.36,7.75,0,0,36.03,45.69,1.85,1.36,1.9,5.55,1.54,253.94,6.27,83.62,423.18,23.62,0,2.09,0,0
 24-34,0,0,12.24,0.6,0,5.22,0.94,5.94,1.88,2.39,0,0,0,0,0,0,4.14,0,0,40.7,61.32,0.63,1.36,0,0,4.71,0,16.73,8.19,161.51,16.53,0,8.46,0,0
 36-46,0,0,4.63,0,0,4.09,4.43,1.19,10.47,1.69,0,0,0,0,0,0,9.83,0.95,0,10.95,57.02,0,1.93,0,0,6.69,0,17.47,18.73,4.9,13.02,0,3.85,0,0
 48-58,0,0,6.08,0.59,0,19.8,1.16,0.9,1.53,10.47,0,0,6.25,0,1.05,0,13.16,0,0,13.84,79.52,0,0,0,0,0,0,6.57,1.09,0,12.11,0,1.08,0,0.53
 60-70,0,0,0.91,0,0,43.49,0.62,8.99,0.72,1.61,0.84,0,0,0,0,0,14.21,0,2.39,7.58,58.09,0.71,0,0,0,0,0,0.93,8.52,0,6.03,0,0,0,0
 72-82,0,0,1.38,5.5,0,42.78,2.65,1.83,0,8.14,2.5,0,0,0,0,0,8.65,0,0,4.58,48.84,0,0,0.56,0,0,0,1.79,0,0,2.78,0,0.99,1.64,0
 84-94,0,0,0,7.62,0,41.6,4.43,1.69,1.51,3.64,0.9,0,0,0,3.08,0,3.98,0,0,4.63,32.36,0,0,1.29,0,1.01,0,0,0,0,0.71,0,0.57,3.9,0
 96-106,0,1.03,0,0,0,42.6,0,0,1.71,3.57,0,0,0.56,0,0,0,9.58,0,1.24,0.61,27.73,0,0.69,0,0,0.64,0,0,0.98,0,1.83,0,5.34,6.38,0
108-118,0,0,1.95,2.09,3.45,38.2,3.14,0.6,0,3.48,0,0.64,0,0.67,0,0.7,5.33,0,0,5.45,34.38,0,1.56,2.72,0,3.07,0,0,0,0,0,0.42,1.34,2.27,0
120,0,0,13.76,0,0,14.62,1.95,0,0,0,0,0,0,1.43,0,0,11.93,0,0,3.02,42.85,0,0,5.19,0,0,0,0,0,0,4.47,0,0,0,0
