stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,71.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,11.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83,0,0,0,15.35,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.16,0,0,0,25.44,0,0,6.22,0,0,0,0,0,0,0
 14-21,0,10.44,0,0.91,0,0,0,0,0,1.35,0,0,0,0,0,0,3.97,0,0,2.75,29.94,0,0,0,0,0,4.86,0,2.03,5.71,8.45,0,0,0,0
 24-34,0,2.42,0.91,9.03,0,0,0,1.24,0,0,0,0.7,1.64,0,2.59,0,5.45,0,0,6.36,59.68,0,0,0,0,0.84,0,0,0,1.6,9.4,0,8.67,0,3.98
 36-46,0,2.47,0,10.16,0,0,0,3.09,0,0,0,0,0,0,3.44,0,8.6,0,0,5.68,42.91,0,3.09,0,0,1.27,0,0,0,0,3.42,0,2.19,0,8.77
 48-58,0,0,0.42,22.8,0,0,0,3.17,0,0,4.11,0,0,0,0,1.57,5.93,0,0,0.38,30.44,0,0,0.41,0,0,0,0,0,0,7.97,0,1.78,0,0.85
 60-70,0,3.84,0,24.58,0,0,0,3.67,0.63,0,0.77,0,0,0,0,12.31,7.55,0,0.81,1.66,44.85,0,0,0,0,0,0,0,0,0,5.31,0,0,0,7.62
 72-82,0,1.05,0,17.1,0,0,0,5.09,0.53,0,0,0,0,0,0,0,3.48,0.61,0,2.43,29.93,0,0,0,0,3.8,0,0,0,0,6.15,0,2.05,0,1.15
 84-94,0,1.55,0,8.22,0,0.71,0,0.71,0,0,0.75,0.92,0,0.8,0,0,4.7,0.57,0,3.5,13.37,4.66,0,0,0,3.75,0,0,0,0,0,1.5,0,1.26,0
 96-106,0,0.69,0.7,6.6,0,0,0,3.4,0.74,0,7.92,0,0,0,0,0,6.09,0,0,0.81,13.12,0,0.84,0,0,3.67,0,0,0,0,0,0,0.83,0,0
108-118,0,1.78,0.52,7.79,0.45,0.48,2.91,1.85,0.68,0,2.54,0,1.56,1.42,0,0,10.23,0,0,3.17,32.89,1.42,0,1.43,0,0,0,0,0,0,0.78,0,3.28,0,0
120,0,3.53,1.63,19.27,0,0,0,3.51,0,0,12.33,0,0,0,0,0,28.51,0,0,4.26,30.51,0,0,0,0,6.64,0,0,0,0,4.49,0,0,0,0
