stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.01,237.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.97,203.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.63,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.69,0,0,0,8.63,0,0,15.42,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.58,0,0,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.98,6.97,0.85,0,0.9,0,0,0,1.22,0,0,0,0,0,0,0,0,5.77,0,0,5.52,36.89,0,0,0,0,0,22.24,0,7.29,0,0,6.41,10.1,0,2.18,0,0
 24-34,0,0,0,1.62,17.78,0.66,0,24.78,0,0.81,0,1.43,0,1.85,0,2.9,0,0,0,0,10.9,0,0,10.38,70.67,1.45,0,0.88,0,0,68.03,0,0,2.71,1.3,1.59,8.43,0,4.74,0,4.18
 36-46,0,0,0,0,6.71,0,0,17.4,2.7,0.68,0.8,1.97,0,0,1.03,0,0,0,0,1.57,16.64,0,0,2.96,36.1,1.2,0.66,0.72,0,0,25.67,0.78,0,0.59,3.43,0,5.94,0,3.06,0,0
 48-58,0,0,0,0,18.75,0,0,19.39,0,0.37,1.12,5.81,0.79,7.94,0,5.32,0,0,3.35,9.54,27.42,0,1.87,9.03,39.11,1.63,3.16,9.51,0,0,38.06,0,0,0,1.36,0,6.75,0,1.83,0,3.81
 60-70,0,0,0,0,9.64,0,0,47.4,4.07,5.48,4.2,8.64,3.49,0,0,0.59,4.74,1.03,0,0,29.92,0,0,1.53,65.08,0,0,0,0,0,41.51,0,0,1.37,6.36,0,2.42,0,1.67,0.71,0
 72-82,0,0,0.61,0,11.6,23.13,0,150.69,1.87,7.42,3.6,37.08,6.44,1.58,0.98,4.2,3.84,0.63,13.26,7.1,42.51,0,2.37,3.64,27.09,0,0,5.96,0,1.03,20.2,0,0,7.51,0,0,13.12,0,3.85,1.24,3.06
 84-94,0.62,0,0,0,24.26,10.33,0,184.37,0,2.99,1.38,50.31,12.72,2.23,0,6.36,0,0,7.49,0,35.9,3.27,2.76,3.15,38.21,0.65,0,7.63,0,0,38.14,0,0,3.3,13.32,0,2,6.64,5.21,0.91,6.58
 96-106,0,0,0.87,0,18.52,9.02,1.57,173.59,3.6,1.16,1.81,18.56,10.66,0,2.94,5.97,1,0,8.62,0.75,39.97,0,0,6.35,31.58,6.28,0.61,3.83,0,3.05,20.45,0,0,0,2.23,0,3.36,1.59,3.76,1.98,5.4
108-118,0,0,0,0,29.48,9.63,12.3,187.21,2.66,3.31,2.39,34.31,18.52,0,8.4,5.52,5.1,0.95,73.52,1.43,81.89,0,2.01,6.31,63.12,1.42,0,5.56,0,0,16.43,0,0,1.2,6.09,0,3.95,3.33,5.12,7.7,2.75
120,0,0,0,0,38.71,0,4.64,337.39,0,2.39,19.8,59.52,16.54,0,2.77,12.34,0,0,0,3.24,89.42,13.87,1.45,0,138.12,0,0,4.73,0,30.97,24.37,0,0,5.18,0,0,0,0,2.42,2.54,0
