stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,8.47,0,0,0,3.36,0,0,0,0,0,0,0,0,0,0,0,166.19,0,0,0,47.78,0,0,0,0,0,0,0,0
 10-12,4.41,38.71,0,0,0,42.1,0,0,0,0,3.85,0,0,0,0,0,0,286.45,23.87,0,0,14.67,0,0,3.68,0,0,0,0,0
 14-21,0,1.03,4.38,0,0,1.28,0,0,0.82,1.9,0,0,0,0,2.98,0,2.18,33.17,0,0,0,3.31,0,2.56,0,2.2,9.86,0,0,0
 24-34,0,0,1.37,0,0,8.85,0.68,0,0,0.71,0,0,0,1.53,2.36,0,2.12,42.02,0,0,1.14,0,0.74,0,0,0,14.12,0,1.62,0
 36-46,0,0,14.98,0,0,7.29,0,0,0,0,0,0,0,0,2.41,0,0.63,18.43,0,0,0,0,3.89,0,0,0,4.65,0,1.61,0
 48-58,0,0,3.55,0,0,8.34,1.21,0.4,0,0.39,0,0,0,0,1.75,0.83,0.88,11.73,0,0,0,0,1.73,0,0,0,0,0,0,0.56
 60-70,0,0,8.02,0,0,7.58,0,0,1.97,0,0,0,0,0,5,0,0,0.57,0,0.84,0,0,0,0,0,0,0,0,6.72,0
 72-82,0,0,2.84,0,0,6.15,0,0.5,2.72,0,0,0,0,0,3.53,0,0,6.1,0,0,0,0,0.68,0,0,0,0,0,1.54,0
 84-94,0,0,1.78,0,0,0,1.11,1.38,1.92,0.63,0,0.8,0.73,0,3.22,0,0.58,8.4,0,0,0.63,0,2.18,0,0,0,0,1.03,1.84,0
 96-106,0,0,0,0,0.92,5.49,0,0,2.24,1.55,0,0.83,0,0,3.36,0,0.7,7.28,0,0,0,0,4.23,0,0,0,0.66,1.17,0,0
108-118,0,0,4.17,2.71,0,1.48,0,1.27,2.4,1.09,0,3.22,0,0,15.23,0,0.47,11.27,3.09,2.04,0.6,0,7.9,0,0,0,0,0,3.07,1.22
120,0,0,12.86,0,0,6.17,0,0,5.55,0,0,0,0,0,2.99,0,0,8.74,0,11.58,0,0,4.57,0,0,0,0,0,0,0
