stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,32.82,356.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,531.39,0,0,0,0,0,0,0,0,0,0,0,0,19.16,14.06,0,8.65,9.26,0,0,0,0
  7-9,8.62,0,7.51,0,16.97,0,0,0,0,0,0,0,0,0,226.62,0,0,38.57,0,0,0,0,0
 10-12,0,0,3.95,0,3.28,0,0,3.85,0,0,0,0,0,0,86.53,0,0,17.37,0,0,0,0,0
 14-21,0,0,0,0,1.71,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0.83,1.45,0.84,0
 24-34,0,0,0,0.95,1.94,0,0,0,0.71,0,1.38,4,0,0,16.18,0,1.21,0,0.6,0,0.77,3.54,0
 36-46,0,0,0,0,1.5,0,1.31,0,0,0,0,1.03,0,0.88,4.18,0,0,0,10.84,0,0,0,0
 48-58,0,0,0,0,2.98,0,1,0,0,3.61,0,0.42,0,0,13.28,0,0,0,0,0,0,0.9,0
 60-70,0,0,0,0,10.01,0,0,0,0,0,0,2.63,0,0,17.81,0,0,0,0,0,0,0,1.08
 72-82,0,0,0,0,12.26,0,0,0,0,0,0,2.57,1.38,0,9.61,0,0,0,0,0,0,0.61,0.6
 84-94,0,0,0,0,0.81,1.09,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.34,0,0,0,0,0.61,0,0,1.76,0,0,0,0,0,0,0,0
120,0,0,0,2.05,0,0,0,0,1.88,0,0,0,0,0,3.02,0,0,0,0,0,0,0,0
