stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.39,0,0,0,0,0.93,24.45,0,0,0,0
 24-34,0.71,4.98,0,0,2.48,0,0,0,0,0,0,0.63,0,0,262.26,0,0.71,0,0,0.71,56.04,0,0,5.09,0
 36-46,0,39.33,0,0,1.82,0,0,0,0,0,0,1.55,0,0,578.15,3.31,0,18.68,0,0,111.35,0,0,0,0
 48-58,1.84,214.71,0,0,9.48,0,0,0,0.97,0,0,5.48,0,2.2,713.09,4.39,0,2.81,0,0,90.23,0,0,0,6.84
 60-70,2.31,606.46,1.54,0,6.39,0,0,0,0,0,0,8.26,0,0,861.33,0,0,0,0,0,102.9,0,0,0.74,0
 72-82,0.62,538.31,0,1.07,10.39,0,0,0,0,0,0,6.31,0,0.54,599.7,0.7,0.71,0,0,0,54.55,0,0,2.74,0
 84-94,5.18,418.44,1.66,0,10.84,0,0,0,0,0,0,22.97,0,0,424.62,0,0,0,0.9,0,59.78,0,0,3.82,0
 96-106,0,234.68,1.31,0,7.14,0,1.58,0,5.11,0,11.88,3.98,3.31,2.19,312.55,0.6,0,2.67,0,0,47.38,1.64,1.31,0,0
108-118,5.75,242.48,0,3.21,6.69,0,0,3.47,0.95,0,0,9.06,0,2.43,362,1.91,0,0,2.96,0,18.81,0,0,0,2.82
120,0,193.72,0,0,20.83,6.8,0,0,0,1.88,0,0,0,0,547.22,0,0,1.45,0,0,23.35,0,0,0,0
