stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,lateral_line,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros,somites
  3-4,300.65,7263.51,0,0,0,0,0,0,0,0,319.69,0,0,0
  5-6,173.35,3498.8,0,0,0,0,0,139.3,10.41,35.79,13.41,0,0,0
  7-9,5.67,0,8.69,0,17.13,20.8,0,318.58,0,106.44,0,63.18,0,0
 10-12,0,9.02,19.56,7.97,37.78,0,0,341.63,29.71,97.9,0,9.99,30.06,12.12
 36-46,0,0,0,0,0,0,2.16,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0
