stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.4,0,0,0,0,0,0,0
  7-9,0,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,12.12,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.12,0,0,0,9.55,3.81,0,0,0,0,0,0,0
 14-21,0,0,5.64,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0.95,0.94,0,0,0,0,0,50.91,0,1.34,0,0,0,0,0
 24-34,0,0,2.41,0.88,0,0,0,0,0,0.76,0,0,8.77,0.7,0,0,0,0.65,1.62,0,14.27,0,0.77,0,0,186.59,0.64,0,0,0,5.38,0,0
 36-46,0,0,1.56,0,0,0,1.04,0,0,1.3,0,0,1.42,0,2.29,0,0,0,0,0.92,13.67,0.82,0,0,0,283.86,0,0,4.11,0,0,0,0
 48-58,0,0,6.26,0,0,2.6,0.86,1.95,0,1.55,0.69,0,7.94,0,0,0,5.23,0.69,3.15,0,10.52,0,0.38,0,0,297.28,0,0,3.59,0,0,0,0
 60-70,0,0,6.94,0,0,6.79,4.14,1.33,0,0,0,0,0.59,0,1.02,0,0,0.9,10.42,3.39,15.75,2.09,0,0,0,290.3,0,0,0,0,0,0,0
 72-82,0,0,11.76,0,0,3.54,4.39,1.47,0,0,0,0,5.59,0.63,1.07,0,0,2.41,11.15,0,7.26,0.53,0,0,0,314.88,0,0,2.85,0,0.97,0.53,0
 84-94,0,0,29.25,0,0,2.32,3.65,0,0.69,3.72,0,0,5.93,0,0,0,0,3.89,32.34,0,16.36,3.3,1.26,1.63,0,871.08,0,0,0,1.4,0.83,0,0
 96-106,0,0,51.19,0,0,4.51,10.06,1.14,3.79,0,0,0.93,15.8,0.57,1.84,8.78,0,2.05,64.47,0,15.39,1.5,4.53,0,0,819.28,0.9,0,0,1.85,0,0,0
108-118,0,0,36.8,0,0,8.34,10.62,7.97,4.06,0,0,0,20.67,2.07,0,0,0,5.51,31.73,0,14.17,0.41,0,0,0,592.21,0,0,4.89,3.9,0,0,3.48
120,0,0,62.72,1.76,1.71,0,11.64,20.66,0,0,0,0,19.68,0,4.03,0,0,2.9,26.15,0,24.78,0,0,0,0,414.86,0,0,0,9.47,0,0,0
