stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,9.74,118.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.97,52.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.47,0,12.58,0,17.41,0,0,0,0,0,0,47.58,20.45,0,0,0
 10-12,0,0,4.87,0,0,0,0,0,0,0,0,94.02,28.79,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.87,0.9,0,4.15,0,0,0.91,0
 24-34,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0,1.03,0.73
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76,0,0
 48-58,0,0,0,1.47,0.49,0.54,0,0.68,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.73,0,0.84,0,0,0,0,2.83,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0.8,0.9,0,0,0,0
 84-94,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.42,0,0,0,0,0,0.88,0,0,0,0
