stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.6,108.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,11.25,0,0,29.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.79,245.91,0,0,97.73,0,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,24.31,239.77,3,1.51,8.7,0,0,68.02,1.15,0,0,0,1.57,0,0,4.34,0,0,6.26,145.01,777.74,4.98,9.4,100.68,0,0,236,26.04,77.15,0,0,0,0,0
 24-34,0,0,0,45.43,103.54,0,3.54,5.75,0,0,21.24,0,0.69,0,0,0,0,0,2.65,0.76,0,0.72,398.29,15.6,37.72,30.74,0,0,0,0,0,229.81,0,0,0.7,0,0
 36-46,0,0,0,0,36.25,0,2.08,14.36,0,0.78,2.71,0,0,0,0,0,4.16,1.37,8.23,2,0,0,338.82,1.21,49.8,76.95,0,0,0,0,0,178.11,0,0,0,0,0
 48-58,0,0,0,0,42.92,0,14.95,8.39,0,6.21,0,0,0,0,0,2.35,0,0,14.32,0,0,0,334.38,0,33.72,69.65,0,0,0.39,0,0,64.53,0,0,0,0,2.57
 60-70,0,0,0.62,0,41.87,0,9.66,4.13,0.83,1.78,0,0,0,0,0,3.35,0,0,3.45,0,1.41,0,309.28,0.66,26.92,41.25,0,0,0,0,0,60.12,0,0,0,0,0
 72-82,0,0,0,0,48.21,9.14,56.6,0.62,0,13.72,0.65,0,0,0,0,0,0,0,10.59,1.64,2.23,1.2,506.09,0,36.38,89.72,0,0,0,0,0,65.21,0,3.12,4.24,1.87,0
 84-94,0,0,0,0,62.31,10.47,46.21,3.31,0,12.13,0,0,0,1.76,0,0,0,0,1.32,0,1.33,0,316.28,0,37.73,113.04,0,0.96,0,0,0,31.26,0,0,0,0,0
 96-106,0,0,0,0,96.08,2.92,32.8,19.39,2.81,12.11,0.76,0,0,3.04,1.11,0,0,0,3.9,0,0,4.26,296.81,0.86,33,99.51,0,0,4.26,0,0,33.57,0,0,9.13,9.21,0
108-118,0.5,0,0,0,80.55,2.45,42.45,27.82,0,13.2,3.13,0,0.63,5.46,0,0,0,0,12.3,0,3.44,0.42,470.28,1.71,32.53,93.97,0,0,0,0,0,12.99,0,2.1,0.97,2.34,0
120,1.12,0,0,0,69.27,0,22.5,21.58,0,13.3,0,0,7.89,1.66,0,2.69,0,0,15.63,1.69,0,2.74,585.91,9.93,37.99,69.39,0,0,0,0,0,36.86,1.28,0,6.62,0,0
