stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,paraxial_mesoderm,somites,spinal_cord
  3-4,105.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,252.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.84,0,0,0,0,0,0,0,0,0,0,61.29,12.55,0,0
 10-12,4.32,0,0,0,0,0,0,0,0,0,0,12.16,12.87,9.66,0
 14-21,0,1.98,0.95,0,0,0,0,0,0,0,0,4.4,0,0.8,2.99
 24-34,0,0,0,0.97,1.11,0,0,0,0.76,0,0,17.84,0,0,4.56
 36-46,0,0,0,1.57,0,0,0,0,1.65,0,0,8.61,0,0,0
 48-58,0,0,0,5.09,0.47,0,0,0,0,0,0.51,5.22,0,0,1.86
 60-70,0,1.27,0,2.31,0.94,0.58,1.45,0,0.83,0,0,8.48,0,0,0
 72-82,0,0,0,5,1.45,0,0,2.95,1.01,0,1.41,7.13,0,0,1.14
 84-94,0,0,0,8.32,0,0,0,0,0,0.76,0,8.62,0,0,0
 96-106,0,1.77,0,0,0,0,0,0,5.99,0,0,0.83,0,0,0
108-118,0,0,0,0,0,0,0,0,3.99,0,0,3.68,0,0,0
120,0,0,0,0,1.31,0,0,0,0,0,1.56,0,0,0,0
