stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,4.58,0,0,0,0,0,0,0,0,0,0,0,1.1,0,1.1,32.38,0,0,0,0,1.31,0.83,0,3.04,13.62,3.34,0,0,0,0,0
 24-34,0,0.91,0,3.92,0,0,0.74,3.01,1.01,0,0,0,0,0,0,2.9,0,3.62,112.97,3.79,1.16,1.77,0,10.49,0,2.86,1.26,6.57,27.49,0,0,0,0,0
 36-46,0,1.83,0,3.4,0,0,1.34,5.09,0,0,0,0,0,0,1.33,13.14,0,4.59,89.01,0,1.77,0,0,6.47,0,0,0,0,38.28,0,0,1.3,0,0
 48-58,0,5.43,0,30.85,0,0,1.18,4.46,0,6.82,1.54,0,0,0,0.79,28.11,0,3.38,171.27,4.29,0,0.5,0,1.19,0,0,0,0,31.83,0,0,6.99,0,0.83
 60-70,0,0,0,35.29,2.3,0,0,5.24,0,7.01,0.58,0,0.63,0,0,24.32,0,0.77,92.58,1.69,0,0,0,3.48,0,0,0,0,22.76,2.18,0,2.02,0.78,0
 72-82,0,1.76,0,84.69,0,3.15,1.17,5.55,1.99,0.55,0,0,3.73,0,0,26.16,0,1.14,139.96,0,0.53,1.09,0,3.95,0,0,0,0,16.54,0,0,1.68,0.91,0
 84-94,1.2,4.48,9.09,53.54,0,0,2.52,13.01,0,4.06,0,0,0,0,6.77,28.87,0.95,2.5,94.8,0.61,4.09,6.68,0,14.75,0,0,0,0,7.54,0,0,0,1.47,0
 96-106,1.68,7.81,10.84,120.8,0,0.66,1.63,14.86,3.09,1.79,3.14,2.18,0,6.67,0.68,32.25,1.11,2.83,121.18,0,8.94,2.57,0,18.68,0,0,0,0,5.22,0,3.08,5.55,1.53,4.82
108-118,0.84,4.63,0,48.47,0,0.99,0.6,6.52,0.89,3.07,1.45,3.31,0,0,5.85,24,1.48,4.36,87.46,0,0,4.45,0,14.84,0,0,0,0,5.6,3.03,0.86,2.31,1.44,0
120,0,1.6,11.24,58.57,0,0,0,23.1,0,11.25,1.77,7.44,0,0,0,12.38,0,15.28,106.99,0,12.05,0,0,6.71,0,0,0,0,7.14,0,0,0,0,0
