stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,12.15,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.89,20.01,0,0,9.97,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,4.87,0,0,0,0,0,0,0,0,1.52,0,0,0,0,29.23,2.85,0,0,1.79,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 24-34,0,0.59,2.65,0,0,0,0,0,0,0,0,1.92,0,0,0,0,17.93,22.8,0,5.41,20.36,0,0,2.67,0,0,1.06,0,7.34,0,0.81,2.83,0,0,0,0,0
 36-46,0,0,0.73,0,0,1.98,6.22,0,0,0,0,0,0,0,0,3.95,18.49,8.04,0,2.62,12.66,0,0,2.45,0,0,1.94,0,4.53,9.21,2.19,0.72,0,0,0,0,0
 48-58,0.46,0,0,0,0,8.11,1.55,0,1.28,1.07,0,6.67,0,0,0,1.8,24,10.11,0,7.31,13.34,0,0,12.26,0,0,3.04,0,3.66,0.96,0,1.06,0,0,2.43,0,0
 60-70,0,0,0,0,0,5.96,5.68,0,0,2.04,0,3.33,0,0,0,0.8,27.16,4.45,0,5.82,21.78,0.62,0,13.89,0,0,0.68,0,5.31,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.48,0.76,6.36,5.44,0,2.38,11.18,14.81,1.3,0,0,0,13.67,191.84,22.23,0.93,6.21,46.05,0,0,16,0,0,1.53,0,31.6,5.26,0,0,0,0,0.61,0,4.68
 84-94,0.63,0,3.24,0,0,18.36,2.35,0,2.72,3.2,31.5,0.8,0,0.68,0,5.59,542.87,14.83,0,5.18,65.79,0,0,19.38,0,7.7,5.71,0,106.73,20.07,0,0,0,0,0,0,0
 96-106,2.61,2.93,7.81,19.9,1.09,96.21,6.74,2.68,0,38.35,181.68,2.93,0.74,1.59,0,11.39,1041.77,24.08,0,7.83,201.23,1.7,2.4,17.98,0,0,10.15,0,87.78,4.01,0,12.58,0,0,5.39,0,0
108-118,3.14,3.49,3.98,10.86,3.43,42.28,1.91,0.45,0,9.56,428.7,0.55,0.59,1.11,1.04,8.03,2206.42,33.09,0.63,9.35,192.97,0.59,1.51,17.11,0,2.13,11.67,0,152.64,10.42,0,1.98,0.89,2.41,2.67,2.72,0
120,1.73,4.2,1.85,13.17,0,24.73,10.76,0,5.64,38.57,426.39,3.96,1.69,0,0,15.22,986.11,39.63,30.64,0,288.14,0,0,19.28,0,0,3.34,0,91.64,0,0,0,0,0,0,0,0
