stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,256.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.43,294.37,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.01,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.61,0,0,35.02,0,0,0,10.13,0,0,0,0,15.97,0,0,0,0,0,0,0,0,0,202.18,0,0,0,17.9,0,0,0,0,0,0,0,0,0
 10-12,0,16.77,0,5.43,0,0,0,12.17,0,0,0,0,23.6,0,0,0,0,0,0,0,0,0,160.93,0,0,0,109.12,0,0,21.06,0,0,0,0,0,0
 14-21,0,0,0,1.71,13.17,4.23,0,2.78,0,0,4.79,0,1.02,0,0,0,0,0,0,17.52,0,8.82,117.85,0,0,0.88,3.19,0,10.88,0.82,0.99,5.12,49.23,0,0,0
 24-34,0,0,0,0,1.61,0,0,9.93,0,0,4.09,0,0,0,0,0,0,4.77,0,10.75,0,3.49,95.34,0.73,3.01,0,0,5.62,0,0,0.82,2.62,28.14,0,4.11,0
 36-46,0,0,0,0,0,0,0,30.69,0,0,1.36,0,0,0,0,0,0,0,1.15,6.82,0,1.83,78.93,0.66,4.59,0,0,5.64,0,0,8.19,0,25.69,0,1.74,0
 48-58,0,0,0,0,0.37,0,0,43.7,0.92,0.46,5.12,0,0,5.76,0,0,0,0,0,7.92,0,0.93,52.68,0,0.89,0,0,0,0,0,0,0,16.38,0,4.9,6.33
 60-70,0,0,0.57,0,0,0,0,35.15,0,0,9.53,0,0,0,0,0,0,1.49,0,16.59,0.69,0.59,45.19,0,0,0,0,9.74,0,1.26,0,0,20.08,0,3.69,0
 72-82,0,0,0,0,2.15,0.51,0,40.55,0,0,13.29,0,0,3.16,0,0,0.64,0,0,19.2,0,2.77,59.49,0,5.96,0.84,0,0,0,0,0,0,20.85,0,1.62,0
 84-94,0,0,0,0,0,0,0,33.23,0,0,13.57,0,0,1.52,2.13,0,0,0,0,17.5,0,1.81,33.67,0,1.99,1.3,0,0.63,0,0,1.43,0,0.69,0,0,0
 96-106,0,0,1.23,0,0.72,2.85,0,20.91,0,0,11.34,0.67,0,0,3.8,0,0.68,0,0,16.1,0,2.61,35.54,0,3.97,0,0,1.14,0,0,0.57,0,9.21,6.11,3.9,0
108-118,0,0,0.71,0,0.88,1.56,0.82,8.52,0.71,0.45,11.28,1.91,0,0,1.4,0.7,0,0,0,30.77,0,0.44,44.91,0,1.61,0.44,0,5.02,0,0,0.8,0,2.84,0,1.53,3.03
120,0,0,0,0,0,0,0,13.27,1.12,0,11.52,0,0,0,7.83,0,0,0,0,13.07,3.62,0,56.17,0,0,0,0,1.85,0,0,0,0,0,0,1.78,0
