stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm
  3-4,0,25.62,0,0,0,0,0,0,0
  5-6,15.15,49.71,0,0,0,7.39,0,0,17.47
  7-9,55.5,0,6.7,0,18.35,80.88,16.28,81.83,0
 10-12,3.8,0,0,5.57,0,5.81,32.01,67.73,0
