stage,blastomeres,epidermis,eye,immune,liver,mesenchyme,neural,periderm,spinal_cord,vasculature
  5-6,29.17,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.99,0,0,0,0,0,0
 72-82,0,0,0,26.07,0,0,0,0,0,0
 84-94,0,0,0,11.91,0,0,0,0.7,0,0
 96-106,0,0,4.77,40.94,0,0,0,10.92,1.18,2.2
108-118,0,0,0,50.4,3.13,0,3.39,0.54,0,0
120,0,1.58,0,45.04,0,14.31,14.97,0,0,1.66
