stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,88.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,0,0,0,0,0,0
  5-6,40.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95,0,0,0,0,6.27,0,0,0,0,0,0,0
  7-9,10.98,0,0,23.57,0,0,0,0,0,0,0,0,0,0,0,0,0,98.33,3.27,0,0,45.65,0,0,0,0,0,0,0,0
 10-12,5.42,0,0,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,29.82,0,0,0,5.84,0,0,0,0,0,0,0,0
 14-21,0,2.62,1.46,2.19,0,0,0,0,0,0,0,0,0,0,0.84,0,3.24,17.5,0,0,0.93,0,0,0,0,0.84,5.66,0,0,0
 24-34,0,2.56,0,3.64,0.85,0.74,1.67,0,0.81,0.77,0,0,0,0.69,11.35,0,2.67,92.83,0,3.22,1,0,3.11,0,0.61,0,14.64,0,5.6,0
 36-46,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,3.59,0,0,86.32,0,0,0,0,0.85,0,0,0,9.6,0,0,0
 48-58,0,0,0,13.66,0,1.13,16.51,0,0.87,0,0,0,0,0,6.48,0,0,45.73,0,0,0.46,0,0.6,0,0,0,13.25,0,0,0
 60-70,0,0,0,43.88,1.18,0,8.79,0,0,0,0,0,0,0,9.46,0,2.61,49.27,0,0,0,0,0,0,0,0,14.68,0,0,0
 72-82,0,0,0.87,25.52,0,0,2.71,0.72,0,0,0,0,2.78,0,6.54,0,1.83,24.96,0,0,0,0,3.34,0,0,0,0,0.91,0,0
 84-94,0,0.83,0,7,0,0,0,0,0,0,0,0,0,0,3.45,2.61,0.63,9.28,0,0,0,0,2.98,0,0,0,0,0,0,0
 96-106,0,4.23,0,10.33,0,0,5.61,0,0.87,0.58,0,0,0,0,5.94,0,0,29.4,0,0,0,0,0,0.87,0,0,0,0,0,0
108-118,0,0,0,2.01,0,0,9.01,0,0,2.41,0.57,0.44,0,0,14.48,0,0,5.62,0,0,2.54,0,1.79,0,0,0,1.83,0,0,0
120,0,2.08,1.62,6.62,0,0,12.89,0,0,3.17,0,0,0,0,21.75,0,0,17.16,0,0,0,0,3.08,0,0,0,0,0,3.33,3.36
