stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.12,143.17,3.74,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,3.13,0.98,1.01,0,0.91,0,0,0,424.09,0,0
 24-34,0,2.08,21.46,4.5,0,0,2.92,0,0,10.05,6.68,0,0,0.65,0,3.84,0,2.16,64.39,0,3.45,2.28,4.8,9.26,0,0,2488.89,0,0
 36-46,0,0,7.25,7.71,0,0.61,0,0,0,0.82,1.91,0,0,0,3.56,0,0,0.87,32.51,0,0,0,0,8.09,0,0,1735.93,0,0
 48-58,0,1.01,0.55,8.79,0,0,1.52,0,0,1.83,13.09,0,0,1.84,0,2.53,0,0,41.06,0.48,2.22,0,0,5.84,0,0,1608.71,0,7.8
 60-70,0,3.28,1.4,6.86,0,0,0,0,0,0,9.32,0,0,0,0,0.58,2.21,2.07,33.84,0.63,0,0,0,0,0,0,1373.71,0,0
 72-82,0,0,12.92,11.17,0.8,0,5.68,0,0,0.81,16.85,0,3.46,0,0,9.84,0,2.22,23.93,3.6,0.98,0,0,0,1.58,0,1555.3,0,4
 84-94,0,4.19,0,3.93,0,0,4.07,0,0,0,13.85,0,2.99,0,0,0,0,0,18.16,2.26,0,0,0,14.52,0,0,1886.42,0,0
 96-106,0.81,6.89,21.49,55.76,0,1.02,1.8,1.65,0,0,20.92,0.76,6,0,7.1,16.2,0,0,104.69,1.73,1.05,0,0,0,0,0,2006.17,0.83,1.29
108-118,0,0,0,14.83,0,0,0,0,0,0,24.1,0,4.76,0,0,17.54,0,0,12.4,0.87,0,1.69,0,0,0,1.53,1669.96,0,1.27
120,0,0,15.58,11.5,0,0,5.6,5.64,5.2,0,28.79,0,6.46,0,0,51.56,0,0,37.47,0,1.65,0,0,0,0,0,1718.87,0,0
