stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,14.12,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,150.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,273.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.43,0,0,0,0.87,0,0,1.46,4.58,7.26,0,0,0,0,0,0,18.05,0,0,11.86,5.53,0,6.94,0,0,0,0,0,0,2.37,0,0,0,0,0
 24-34,0,0,0,11.89,0,0,1.58,19.71,0,0,0,0,14.17,0,2.3,0,0,0,0.62,31.16,0,1.52,6.71,65.71,0,2.52,1.32,0,0,0,5.92,0,10.77,0,0,2.87,0,0
 36-46,0,0,0,14.75,5.85,0,12.33,19.17,0,0,0,1.09,14.15,0,0,0,0,0,0,42.43,0,1.4,2.23,123.88,1.32,13.44,1.1,0,0,0,0,0,14.22,0,0.85,2.24,0,0
 48-58,0,0,0.43,16.01,0,0,28.43,32.19,0,8.62,0,0,7.73,0,0,0,0.4,0,0,104.04,0,8.07,1.9,150.97,0,4.33,0.82,0,0,0,0,0,27.3,0,0,1.03,0,0
 60-70,0,0,0,33.84,0.77,0,155.56,58.72,10.18,68.15,0,0,4.65,1.17,0,0,1.87,1.2,4.05,283.7,0,38.37,16.66,115.71,0,6.77,1.73,0,1.65,2.06,0,0,14.31,0,1.87,0.71,9.43,0
 72-82,0,0,0,52.53,0,0,134.43,21.54,1.83,227.95,0,0,3.77,0,1.53,1.11,1.44,0,0,476.13,0,56.05,22.29,214.7,0,6.83,9.7,0,0,1.74,1.21,0,7.12,0.5,16.89,17.45,28.57,4.42
 84-94,0,0,0,83,1.4,0,101.35,36.97,3.38,166.04,0.65,0,2.77,0,8.29,1.22,0.71,0,0,371.88,0,69.38,19.65,127.43,0,11.9,6.25,0,0,0.57,2.56,0,20.07,0.76,31.73,20.44,26.65,0.74
 96-106,0,0,0,161.72,3.32,0,148.77,60.66,9.47,359.12,3.31,0,8.33,2.39,2.13,2.87,8.95,1.56,0,658.59,0,127,54.25,191.03,0,24.78,11.33,0,14.89,4.44,13.5,0,8.16,0,26.6,36.96,69.77,7.99
108-118,0,0.84,0,162.65,2.09,1.83,143.96,64.58,7.95,354.52,0.74,0,6.89,1.67,6.66,2.92,3.85,0,3.2,1089.22,0.48,143.01,35.57,173.67,1.22,14.95,2.45,0,16.25,0,1.04,0.78,8.24,1.69,32.33,29.33,54.06,0
120,0,0,0,68.72,0,0,219.49,31.1,20.13,193.97,1.26,0,0,3.37,7.01,6.48,5.4,0,3.15,845.98,0,146.86,6.7,262.65,0,4.17,0,0,2.54,3.13,4.27,0,0,0,6.01,18.7,59.63,0
