stage,eye,mesenchyme,neural,spinal_cord
  7-9,3.38,0,15.05,0
 10-12,0,0,4.25,0
 14-21,0,0,1.75,0
 24-34,0,0,2.38,0
 36-46,1.44,0,0,1.09
 48-58,0,0,2.53,1.59
 60-70,0,0,5.63,0
 72-82,0.94,0.49,1.73,0
 84-94,0,3.85,0,0
 96-106,0,0,6.28,0
120,0,0,15.85,0
