stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,128.02,2305.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.03,0,0,0,0,0,0,0,0,0,0,0
  5-6,205.09,3711.55,0,10.49,0,0,0,0,0,0,0,0,23.63,0,0,0,0,0,0,0,0,0,0,0,184.01,15.57,0,0,25.11,62.79,0,0,0,0,0,0,0,0,0,0,0
  7-9,71.74,80.63,0,160.61,0,0,272.6,0,0,0,0,0,140.92,0,0,0,0,0,0,0,0,0,0,0,2181.71,108.26,0,0,921.24,0,22.65,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.65,0,119.37,0,10.08,138.01,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,1490.47,20.35,0,0,588.33,3.47,12.01,0,31.35,0,0,3.51,0,0,0,0,0
 14-21,0,0,1.69,4.21,35.68,3.29,29.15,0,0,0,12.82,4.58,0,1.92,0,0,0,0,0,0,27.93,0,0,30.78,313.03,8.65,1.03,3.29,7.41,0.97,0,27.6,0,1.33,43.63,93.67,0,0,1.09,0,0
 24-34,0,0.83,0,0.7,10.25,0,27.63,0,0,0.74,3.73,2.26,0,1.56,0,0.77,0.63,0,0.69,0,38.13,4.95,0,14.24,410.9,3.61,2.15,4.84,0,6.24,0,0,1.29,0,1.67,96.65,0,0,14.28,0,0
 36-46,0,0,0,0,1.6,0,55.62,0,0,0,16.17,0,0.76,0,1.96,0,3.33,0,5.5,0,32.31,0,0,11.7,507.13,0.61,1.7,7.27,0,8.44,0,0,0,0,0,101.88,0,0,9.87,0,0
 48-58,0,0,0.54,0,3.81,0,78.61,0,0.79,2.8,21.32,0,0.48,0.82,1.91,0.81,0,0,0,0,37.77,0,3.32,8.42,334.29,0.39,6.53,0.41,0,2.04,0,0,0,0,0,80.91,0,0,2.07,0,0.49
 60-70,0,0,1.1,0,1.41,0,108.92,0,1.07,0,19.39,0,2.38,0,0,0.59,0,0.66,2.26,0,34.83,3.18,7.1,1.93,387.26,0,0.89,0,0,2.42,0,0,0,0,0,28.18,0,0,5.37,0,0
 72-82,0,0,0,0,4.37,0,113,0,0.51,3.78,26.35,0,1.51,0,0,2.69,4.33,0.81,0,0,51.64,0,1.8,6.11,267.34,3.12,1.18,1.28,0,2.76,0,0,0,0,0,62.86,0,0.61,14.11,0,0
 84-94,0,0,0,0,8.73,1.55,68.6,0,1.13,2.21,16.61,0.62,0,0,6.68,3.24,1.25,0.66,0,0,38.73,2.12,0.83,4.1,216.58,4.03,1.53,0.84,0,5.92,0,0,0,0,0,22.21,0.61,0,3.43,2.04,0
 96-106,0,0,0,0,6.69,0,102.56,0,2,1.39,20.46,2.61,0,3.03,2.82,5.98,0,0,7.54,0,55.51,0,2.78,6.09,150.78,0.57,8.93,0.85,0,9.37,0,0,0,1.11,0,16.7,1.75,0.76,9.09,0,0
108-118,0,0,1.73,0,17.56,3.15,65.68,0,1.32,0,24.62,4.67,0,0,5.87,9.24,0,0,1.03,4.9,48.17,0,4.66,3.75,221.27,1.03,0,2.24,0,6.62,0,0,0.75,1.12,0,13.35,2.39,6.05,0.51,0,0.79
120,0,0,0,0,22.85,3.61,89.84,2.29,3.88,0,71.08,3.39,0,0,11.13,19.98,0,0,0,0,29.14,0,2.58,10.55,212.2,4.5,0,0,0,1.81,0,0,1.04,0,0,24.02,1.94,0,11.66,0,1.16
