stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,70.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1648.82,0,0,0,0,0,0,0,0
  5-6,97.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,2550.8,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,68.56,0,0,0,13.63,0,79.95,0,0,0,0,0,0,0,0
 10-12,0,0,7.99,0,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,13.63,0,0,0,0,0,0,0,8.97,0,0,0,0,0,0
 14-21,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,13.8,0,3.25,0.94,0,0,1.91,2.24,15.91,0,3.21,0,0,0,0
 24-34,0,7.15,0,9.03,1.41,0,2.71,0.95,0,0,1.3,0,2.07,3.76,0,2.3,0,0,0,275.27,0,95.94,0,0,0,7.53,0,29.98,0,32.49,0,0,10.91,0
 36-46,0,4.07,0,11.03,0.67,0,9.95,0,0,0,0,0,1.61,2.71,0,2.37,0,0,1.16,641.32,0,236.52,0,0,0,4.87,0,18.94,0,32.92,0,0,7.83,0
 48-58,0,2.67,0,21.3,0,0,8.94,0,0,1.73,0.67,0,13.92,0.91,0,2.5,2.26,0,0,396.98,0,218.01,0,0,0,10.9,0,9.1,0.5,20.97,0,0,7.38,0
 60-70,0,0.7,0,9.2,0,0,5.9,1.24,0.77,0,12.2,0,0.58,5.81,0,12.18,1.12,0,0,328.01,0,251.65,0.78,0,0,3.84,0,4.91,0,44.97,0.81,0,14.5,1.06
 72-82,0,9.56,0,17.04,0,0,10.09,0,0.94,3.43,15.81,0,1.22,4.66,3.49,12.55,0,0,0,379.74,0,414.14,0.53,0,0,0.84,0,7.35,0,36.82,6.17,0,10.2,1.53
 84-94,0,7.27,0,19.45,0,0,14.65,0.79,0,0,65.2,0,2.83,7.7,0,3.35,0,1.17,0,290.37,0,364.57,0,0,0,12.89,0,14.81,0,18.26,48.13,0,16.89,0
 96-106,0,14.99,1.89,52.79,5.49,0,16.1,0,0,2.92,84.43,3.44,7.02,11.18,12.62,24.91,2.29,0,1.05,300.61,0,602.45,0,0,4.36,14.87,0,5.81,0,7.33,58.48,1.59,3.13,0.85
108-118,0,15.79,2.83,38.95,0.73,0.58,37.22,1.05,0,2.08,78.54,0.58,8.05,4.97,2.07,24.79,0.53,0,1.78,243.01,0,427.72,0,0,0,14.27,0,4.76,0,9.98,68.23,0,23.68,3.36
120,0,19.03,0,45.91,0,0,13.92,0,0,2.57,117.23,0,0,3.78,16.73,5.91,0,0,1.04,226.3,0,419.38,0,0,0,2.41,0,6.53,0,18.21,25.38,0,30.8,0
