stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,147.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.31,375.53,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.46,11.3,0,538.07,0,0,0,67.73,0,0,0,0,17.33,0,0,0,0,0,0,0,0,0,0,0,775.93,71.39,0,0,59.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,62.55,0,428.64,0,8.6,0,87.02,0,0,0,0,22.67,0,0,0,0,0,0,0,0,0,0,0,3057.17,81.44,0,0,111.81,0,6.8,0,34.13,0,3.24,26.7,0,0,0,0,0
 14-21,0,0,2.41,14.74,51.85,0.84,0,96.93,0,1.36,0,32.91,0,0,16.99,0,0,0,0,0,8.47,0,0,10.09,5241.08,8.33,33.33,13.61,0.86,2.28,0,8.45,0,13.29,65.44,2128.28,0,0,0,0,0
 24-34,0,0,3.35,0.6,13.82,2.01,0,128.93,0,0.97,0,66.06,0.66,5.07,14.44,1.95,19.45,0,0,1.71,28.37,1.24,0,11.02,14894.06,13.63,11.23,5.65,0,16.46,0,1.58,1.41,5.8,7.48,3675.58,0,0,20.26,0,1.72
 36-46,0,0,0,0.56,4.46,0,0,296.57,0,0,0.57,359.63,0,0.6,12.43,0.59,2.35,0,0,21.1,37.75,0,2.33,10.81,13337.71,5.65,14.23,6.21,7.09,11,0,0,1.95,9,1.79,5133.19,0,0,3.84,0,0
 48-58,0,0,0.59,0,9.8,3.41,0,399.72,5.02,4.21,0.4,785.97,0,5.07,1.9,0,1.04,0,0.87,5.71,36.21,0.56,0,8.8,5092.45,0,2.5,2.92,0,1.8,0,0,12.2,0.4,0,3456.36,0,0,4.51,0,7.6
 60-70,0,0,0,0,1.72,4.26,0,199.64,4.06,4.11,0,281.36,0,0,1.74,0,0.72,0,0,0,24.32,0,0,22.99,1691.89,1,0,1.84,0,5.32,0,0,0,4.26,0,868.63,0,0,19.08,0,0
 72-82,0,0,0,0.56,6.92,11.33,0,81.31,6.18,0,1.63,191.72,0,0,0,0,0,0.97,0,0,43.75,0,0,2.43,1000.38,1.43,0.5,1.04,0,0,0,0,1.03,2.3,0,251.86,0.87,0.63,1.79,1.5,0
 84-94,0,0,0,0,16.24,0,0,79.76,0.64,0,2.03,102.84,0,1,1.87,0,0,0,0,0,24.46,0,1.38,4.91,669.75,0,0.7,0,0,5.09,0,0,0.65,0,0,174.65,0,1.76,4.6,0,0
 96-106,0,0,0,0,8.67,0,0,51.05,4.71,0,0,119.55,0,0,2.51,0,0,0,0,0,25.64,0,0.59,21.54,428.02,0,0,0,0,3.36,0,0,0.71,0,0,45.63,0,2.88,0.92,0,3.29
108-118,0,0,0,0,5.53,5.15,2.88,34.87,2.62,0,0,88.17,0,4.06,1.99,1.17,1.01,0,0,0,26.64,0,0,9.52,683.64,0.46,1.64,0,0,3.22,0,0,0,1.37,0,39.36,1.56,6.9,0,2.26,6.45
120,0,0,0,0,3.95,0,0,30.14,7.1,2,0,203.24,0,0,0,0,0,0,2.27,0,57.65,0,6.16,8.69,827.03,0,0,13.55,0,5.06,0,0,0,0,0,102.41,0,0,0,0,0
