stage,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  5-6,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0
  7-9,0,13.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.16,0,0,0,0,0,0,2.87,0,0,0,0,0.98,4.67
 24-34,0,0,2.66,0,0,0,0,0,33.55,0,0,0,0,0,6.86
 36-46,0,0.81,0.97,0,0,0,0,0,70.82,0,0,0,0,0,11.4
 48-58,0,4.33,1.46,0,0,0,0,0,120.32,0,4.08,0,0,0,16.42
 60-70,0,18.67,0,0,0.72,0,5.67,0.59,132.91,1.17,0,0,0,0,34.1
 72-82,0,11.95,0,0,0,0.56,0,0,155.31,0,0,0,0,0,27.96
 84-94,0,13.2,8.27,0,0,0,0,0,141.48,1.95,0,0,3.75,0,5.44
 96-106,0,17.17,4.25,0,0,0,0,0,129.02,0.7,0,0,0,0,10.21
108-118,2.91,12.39,0.48,0,0,0,1.47,4.07,163.06,0,0.63,0,0,0,2.68
120,0,15.7,18.99,2.91,0,0,5.41,0,249.01,0,0,0,0,0,0
