stage,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,vasculature
  5-6,39.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.78,0,0,0,31.95,3.56,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.69,0,0,4.63,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0
 24-34,0,1.89,0,0,0.69,0,0,0,0,1.58,0,0,0,0,0
 36-46,0,0,0.64,0,0,0,0,0,0,0.61,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.76,3.44,0,0,0,0,0
 60-70,0,0,4.6,0,0,0,0,0,0.65,0.68,0,0,0,0,0
 72-82,0,0,1.02,0,0,0,0,0.6,0,3.64,0,0,0,0,0
 84-94,0,0,2.67,0,0,0,0,0,0.86,0,0,1.69,0,3.75,0
 96-106,0,0.6,0,0,0,0,0.71,0,0,0,0,0,0,1.28,0
108-118,0,0,0,1.73,0,0,0.57,0,0,0,0,0,0,0,1.1
120,0,0,0,0,0,0,4.92,0,0,1.17,0,0,0,0,0
