stage,blastomeres,eye,fin_mesenchyme,glial,ionocyte,mesenchyme,neural,otic,periderm,spinal_cord
  3-4,10.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.96,0,0,0
 14-21,0,1.14,0,1.62,0,0,2.11,0,0,0.96
 24-34,0,1.4,0.71,0.7,0,0,18.69,0,0,0
 36-46,0,6.5,0,0,0,0.89,16.72,0.61,0,3.15
 48-58,0,14.34,0,1.08,0,0,26.05,0,0,1.4
 60-70,0,17.64,0,0,0,0,16.06,0,0,0
 72-82,0,4.23,0,0.71,0,0,0,0,0,0
 84-94,0,4.48,0,0,0.76,0,6.51,0,4.36,0
 96-106,0,3.9,0,0.98,0,0,5.91,0,0,0
108-118,0,0.71,0,0,0,0,5.86,0,0,0
120,0,9.14,0,0,0,0,0,0,0,0
