stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,37.83,462.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0
  5-6,30.01,935.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.24,0,0,0,0,0,0,0,0,0
  7-9,9.95,8.77,0,24.99,0,0,47.64,0,0,0,0,0,23.4,0,0,0,0,0,0,0,0,0,0,605.33,21.68,0,0,149.19,0,0,0,0,0,0,0,0,0
 10-12,0,3.43,0,23.3,0,0,23.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.06,13.37,0,0,79.21,0,0,0,18.05,0,0,0,0,0
 14-21,0,0,0,0,3.63,0,2.66,0,0,0,1.2,0,0,0,0,0,0,0,0,2.15,0,0,4.26,40.15,2.02,0,0,0,0,0,2.47,0,4.82,12.26,0,0,0
 24-34,0,0,0,0,4.32,0,6.32,0,0,0,1.84,0,0,0,0,0,0.63,0,0.65,6.3,0,0,6.24,108.19,0,0,0,0,0,4.84,0,2.43,0,16.52,0,2.64,0
 36-46,0,0,0,0,0,0,6.55,0,0,0,1.69,0,0,0,0,0,0,0,0,7.61,1.01,1.26,0,41.27,0,2.47,0.8,0,0,2.7,0,0,0,7.9,0,0,0
 48-58,0,0,0,0,2.42,0,11.39,0.38,7.21,0,3.06,0,0,0,0,0,0,0,0,5.35,0.74,0,0,25.3,1,0,5.47,0,0,0,0,0,0,13.28,0,0,0
 60-70,0,0,0,0,1.69,0,28.83,0.68,0,0,2.23,0,0,1.45,0,0,0,0,0,4.62,0,0,4.14,25.47,0,0,1.67,0,0,2.79,0,0,0,5.1,0,6.71,0
 72-82,0,0,0,0,1.03,0,4.66,0,0,0,4.92,1.23,0,0,0,0,0,0,0,16.92,0,0,1.45,29.18,0,2.93,0.55,0,0,0.9,0,0.55,0,0,0,1.53,0
 84-94,0,0,0,0,2.18,0,14.69,0,0,0,5.27,0,0,0,1.25,0,0,0,0,13.9,0,1.4,2.58,17.26,1.83,0,0,0,1.53,4.51,0,0,0,0,0,0,2.9
 96-106,0,0,0,0,0,1.92,18.8,0,0,1.87,4.14,0,0,0,0,0,0,0.63,0,4.45,0,0,0,16.1,0,0.6,0,0,0,4.21,0,0,0,2.02,0.87,0,0
108-118,0,0,0.85,0,3.05,0,4.99,0,1.41,0.8,11.28,0,0,0,0.53,0.43,0,0,2.22,13.4,0,1.5,1.12,29.55,0,0.57,6.44,0,0,6.78,0,0,0,0.61,0,0.96,0
120,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.14,0,0,0,24.91,6.22,0,0,0,0,0,0,0,0,13.5,0,1.84,0
