stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,3.47,0,0.8,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,7.76,1.1,0,0,0,2.09,0,0,3.89,0,0
 36-46,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,3.9,90.71,0,0,0,0,1.44,0,0,0,0,2.08
 48-58,0,6.73,0,0,0,0.96,0.59,0,0,0,0,0,0,0,8.93,0,1.67,130.31,0,0,0,1.5,1.78,0,0,0.47,0,0
 60-70,0,9.32,0,5.64,0,0,0,0,0.66,0,0.78,0,0,0,1.62,0,0,99.13,0,0,0,1.53,2.19,0,0,0,1.25,0
 72-82,0,1.38,0,9.91,0,2.6,0,0,0,0,6.27,0,0,0,6.21,0,2.3,140.54,0,0,0,0,1.38,0,1.14,1.22,0,0
 84-94,0,8.99,0,7.91,0.67,0,0,1.4,0,4.17,7.25,1.02,0,0.9,0.91,1.17,0,146.47,0,0,0,0.88,2.14,0,0,5.04,0,0
 96-106,0,8.94,0,6.17,0,0,1.1,2.92,0,0,17.92,0,0,0,3.62,0,0,88.85,0,2.09,0,9.14,0,0,0,1.01,0,0
108-118,0,3.16,0,9.45,0,0,3.98,23.93,0,0,17.42,0,1.95,0,4.59,1.52,0,69.31,0,0,0,4.66,0,0,0,1.49,0,0
120,0,7.78,28.49,0,0,0,0,23.29,0,0,13.2,0,0,1.15,4.96,0,0,68.24,0,0,0,1.37,0,1.19,0,1.14,0,0
