stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,63.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0
  5-6,0,65.98,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,0,0,0,9.25,0,0,0,0,0
  7-9,9.08,0,0,0,0,0,0,9.33,0,0,0,0,0,0,122.86,3.58,0,0,29.55,0,0,0,0,0,0
 10-12,0,18.08,0,0,7.37,0,0,0,0,0,0,0,0,0,143.5,11.22,0,0,15.8,0,0,0,0,0,0
 14-21,0,0,2.51,0,0,0,0,0,0,0,0,0.82,0,0,24.57,0,0,0,0,0,0,0,4.57,0,0
 24-34,0,0,2.17,0,5.05,0,0.89,0,0,0,0,3.55,0,2.31,66.78,0,0.79,0,0,0.97,0,0.74,11.2,0,0
 36-46,0,0,1.36,0,2.06,0,1.48,0,0,12.43,0.86,1.33,1.86,1.51,94.34,0,1.48,0,0,0,0,0,8.52,0,0
 48-58,0,0,1.19,0,19.27,2.16,4.52,0,0,0,0,3.31,0,1.53,67.19,0,1.25,0,0,1.49,0,0,10.78,0,0
 60-70,0,0,1.15,0,31.62,0,0.72,0,0,0,0,7.3,0,0,62.33,0,3.69,0,0,2.77,1.24,0,19.02,0,0
 72-82,0,0,0,0,29.36,0,0.56,0,0.61,0,0,11.52,0,0,44.05,0,0,0,0,0,0,0,6.63,0,1.2
 84-94,0,0,1.07,0,11.05,1.68,0,0,0,0,0,9.32,0,0,46.87,0,0,0,0,0,0,0,0.95,0,2.71
 96-106,0,0,0,0,5.31,0,10.62,0,0,0,0,3.87,0,0,43.48,0,0,0.73,0,0.64,0,0,0,3.06,1.22
108-118,0,0,1.86,0,9.52,0,1.61,0,0,0,0,7.82,3.82,0.79,39,0,0,0,0,0.67,0,0,2.05,1.13,0
120,0,0,8.6,3.02,8.68,0,23.31,0,0,0,0,2.5,0,0,120.47,1.62,0,0,0,2.29,0,0,0,0,0
