stage,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,lateral_line,mesenchyme,muscle,neural,paraxial_mesoderm,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,9.18,6.35,0,0,0
 14-21,2.04,0.93,0,0,0,0,0,0,0,0,5.19,0,0,0,0
 24-34,1.73,0,1.5,0,0,1.97,0,0,0,0,5.98,0,0.85,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.68,4.52,0,3.49,0,0
 48-58,0,0,2.82,0,0,0,0,0,0,0.41,4.67,0,1.06,0,2.67
 60-70,0,0,2.01,0,0,0,0,0,0.64,0,1.91,0,0,0,0
 72-82,0,0,1.55,2.18,0,0,0,0,1.6,0,6.39,0,0,0,0
 84-94,0,0,1.74,1.34,0.61,0,0.62,0,0,0,7.32,0,0,0,0
 96-106,0,0,10.09,2.77,0,0,0,1.04,0,0,10.79,0,0,0,0
108-118,0,0,5.33,0,0,0,0,0,0,0,16.77,0,0,0,0
120,0,0,2.99,0,1.55,0,0,0,0,0,10.44,0,0,1.91,0
