stage,eye,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,neural,otic,somites,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,1.76,0,0.83,0.97,0
 24-34,0,0,0,0,0,1.07,0.95,0.67,0,0,0
 36-46,1.32,0,0,0,0,0,1.65,0,0,0,0
 48-58,12.95,0,0,0,0.4,2.89,1.09,0,0,0,0
 60-70,112.6,0,0,0,0,5.18,1.42,0,0,0,0
 72-82,129.41,1.41,3.49,0.66,0,0,1.42,1.53,0,0,0
 84-94,83.1,0,0,0,2.46,1.44,1.61,1.04,0,0,0.77
 96-106,129.78,0,2.03,0,0,0,5,3.74,0,0,0
108-118,65.7,0,0.94,0,0.42,1.12,3.75,3.37,0,0,0
120,20.8,0,0,0,0,0,2.54,6.79,0,0,0
