stage,erythrocytes,eye,fin_epithelia,glial,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,4.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.08,0,5.31,0,0,0,0
 14-21,0,0,0,0,2.95,3.34,0,0,1.07,0,0,0
 24-34,0,1.47,0,0,0,11.38,0,0,5.24,0,0,0
 36-46,0,1,0,0,2.52,33.82,0,0,2.17,0,0,0
 48-58,0,0,0,1.12,1.95,29.78,0,0,9.29,0,0,0
 60-70,0,8.04,0,1.15,7.83,43.94,0,0,5.4,0,0,2.76
 72-82,0.63,0.92,0,0.64,5.26,55.59,0.55,0,2.35,0,0,0
 84-94,0,18.88,0,0.69,4.26,29.31,0,0,8.91,0,0,0
 96-106,0,5.68,0,1.72,9.8,17.56,0,0,1.72,0,0,0
108-118,0,2.74,0,0,0.79,33.59,0,0,1.42,1.3,0,0
120,0,7.31,3.08,7.92,0,62.97,0,0,0,0,7.1,0
