stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,52.62,1832.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66,0,0,0,0,0,0
  5-6,142.65,1478.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.7,70.19,67.05,0,0,126.31,0,0,0,0,22.87,0,0,0,0,0,0,0,0,0,0,1432.84,12.08,0,0,444.17,0,11.11,0,0,0,0,0
 10-12,0,49.88,97.2,0,0,56.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005.15,4.18,0,0,301.16,0,3.78,0,74.09,5.05,0,0
 14-21,0,0,3.7,11.77,7.72,12.66,0,0,3.73,0.85,0,0,0,0,0,0,0,0,6.06,0,4.49,177.81,2.44,0,0,3.78,5.02,0,9.39,2.56,9.93,49.65,0
 24-34,0,0,0,9,0,42.31,1.04,0,1.86,0,0,0.67,1.26,0,0,1.08,1.68,0,29.02,0,10.58,353.32,0.64,0,0.84,0,16.77,0,0,0,1.1,71,2.93
 36-46,0,0,0,4.3,0,55.97,2.03,0,1.02,0.66,0,0.73,1.06,0,0,0,0.57,0,16.32,0.89,4.59,146.83,0,0,0,0,8.43,0.81,0,0,0,23.38,6.79
 48-58,0,0,0,13.84,0,43.91,0,0.54,2.2,0,0,0,0,0,0,0,0,0,19.81,1.57,7.25,101.32,0,2.57,0,0,1.96,0,0,0,0,6.49,5.96
 60-70,0,0,0,5.77,0,23.35,0,0.62,8.21,2.36,0,0,0,0,0,0,0,0,18.55,0,0.81,44.72,0,0,1.82,0,0.96,0,0,0,0,0,2.42
 72-82,0,0,0,0,0,11.32,0,0,6.58,1.24,0,0,0,0,0,0,0,0.49,16.46,0,2.69,35.29,0,0,0.5,0,0,0,0,0,0,0,0.61
 84-94,0,0,0,4.97,0.97,16.7,0,0.93,6.26,0,0,0,0.78,0,0,0,1.62,0,23.24,1.52,2.39,10.41,0,0,0.62,0,1.64,0,0,0,0,5.74,0.94
 96-106,0,0,0,2.49,0,7.23,0,0,4.71,2.29,0,0,0.58,0,0,0,0,0,4.27,0,0.93,21.87,0,0,1.18,0,3.44,0,0,0,0,0,4.88
108-118,0,0,0,4.79,0.42,6.39,0,0,4.47,1.58,0,0,0,1.56,0.86,0,0,0,9.23,1.16,1.99,22.67,0,1.72,2.3,0,8.71,0,0,0,0,0,0
120,0,0,0,3.68,1.56,39.89,0,0,17.71,1.02,0,0,4.29,0,0,3.68,0,0,4.29,0,9.13,61,0,0,4.78,0,0,0,0,0,0,0,0
