stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,55.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.37,0.86,2.79,0,0,0,0,0,0,0,0,0,0,0.84,12.61,3.47,0,0,0,0.81,0,0,0.98,0,0,0,0,0
 24-34,0,0,0,0,1.92,0,10.32,0,0,0,0,0,0,0,0,2.2,0,0,74.7,26.78,0,0,0,0,0,1.74,21.87,0,0,0,0,0
 36-46,0,0,0,0,0,0,13.92,0,0,2.27,0,0,0,0,0,6.13,0,1.1,143.42,33.78,0,0,0,0,0,0,54.24,0,0,0,0,0
 48-58,0,0,0,0,0,0,16.65,0,0,4.58,0,0,0,0,0.59,4.35,0,0,175.63,14.83,0.64,0,3.84,0,0,0,40.19,0,0,0,0,0
 60-70,0,0,0,0,6.24,0,103.67,0,0,21.2,0,0,0,0,3.12,2.79,0,0.56,428.57,15.33,3.17,0,2.61,0,0,0,30.16,0,0,0,0,0
 72-82,0,0,0.61,0,3.36,0,159.01,0,0,30.57,0,0,0,6.11,0,14.8,0,0.51,457.33,48.39,0.69,0,2.73,0,0,0,37.78,0,0,1.24,0,0
 84-94,0,0,0,0,0.66,0,167.98,0,0,11.05,7.74,2.06,0,0,0,10.58,0.95,1.69,411.1,34.94,3.49,0,0,0,0,0,20.36,0,2.41,0,1.13,0.76
 96-106,0,0,4.02,0,1.42,0,109.41,0,0,12.85,0,0,0,1.99,0,32.41,1.02,0.84,340.53,44.67,3.44,0,2.45,0,0,0,28.17,0,0,0,0,0
108-118,0,0,1.13,0.74,4.13,0,181.58,1.47,0.73,16.13,1.09,0,1.69,0,0,41.17,0,1.66,463.02,32.78,1.45,0.91,3.48,0,0,0.5,8.49,0.67,0,1.07,1.03,2.33
120,0,0,11.35,0,5.55,0,171.11,0,1.44,79.92,0,3.69,0,0,0,31.65,0,0,847.12,100.34,13.55,0,1.04,0,2.39,0,23.54,1.06,0,9.78,0,0
