stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.67,773.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.45,445.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.44,28.91,0,8.37,0,0,43.45,0,0,0,0,0,36.08,0,0,0,0,0,0,0,0,0,0,0,317.46,16.28,0,0,97.55,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.72,0,44.94,0,0,17.25,0,0,0,0,0,19.12,0,0,0,0,0,10.63,0,0,0,0,0,706.26,65.41,0,0,335.43,0,0,4.8,0,11.24,0,0,0,0,0,0,0
 14-21,0,0,0,5.04,47.74,62.16,14.51,0,0,0,14.86,1.99,1.08,3.84,0,0,0,0,183.9,36.14,64.54,0,0,37.65,473.3,71.27,0,1.65,4.25,0,0,0,30.37,4.38,16.52,204.38,0,0,42.29,0,10.46
 24-34,0,0,0,4,16.85,44.58,113.81,0,0,1.32,31.68,2.92,1.41,11.44,0,0,0.89,0,76.1,214.58,136.82,0,0,70.84,1016.78,22.07,6.78,7.74,0,0,4.27,0,1.5,17.86,4.27,340.39,0,0,141.76,0,76.68
 36-46,0,0,0,0,3.87,5.65,136.82,0,0.56,4.52,37.72,0,0,3.45,0,0.89,24.35,0,7.81,286.95,125.38,0,3.38,39.58,791.29,6.29,3.12,0.57,0,0,0.96,0,0,18.9,0,329.19,0,0,45.4,0.78,98.68
 48-58,0,0,0,0,7.25,15.78,261.81,0,6.07,7.23,33.82,0,0,0,1.98,0,44.72,0.48,6.7,214.79,106.39,1.11,3.74,21.45,530.75,11.5,0.39,4.37,0,0,0.4,0,0,4.09,0,161.2,0,3.61,23.62,0,159.11
 60-70,0,0,0.89,0,12.89,18.13,953.39,0,2.33,4.84,41.52,0,0,0.87,14.9,0,48.73,1.12,2.04,111.73,92.03,0,0.6,14.38,643.26,3.55,2.32,4.44,0,1.19,1.66,0,0,7.72,0,131.27,0,1.18,20.58,2.02,92.95
 72-82,0,0,0,0,10.1,107.5,2063.89,0.56,0,15.3,84.94,1.22,0,0,10.07,0,81.6,2.06,1.07,83.31,159.38,0,1.15,9.48,541.98,2.7,2.31,7.88,0,0.77,1.13,0,0,17.54,0,81.22,0,7.74,41.88,4.25,75.01
 84-94,0,0,0,0,20.12,143.57,1892.23,0.6,0.57,9.35,66.56,0.99,0,0,16.22,0.55,120.88,0,5.7,160.62,130.83,0,8.82,8.32,458.83,14.24,2.17,9,0,4.53,0.72,0,0,57.35,0,60.91,0,2.32,50.35,15.2,55.66
 96-106,0,0,0,0,21.71,139.81,2312.23,0.59,0,6.02,72.15,4.39,0,3.81,12.98,0,115.91,3.61,0,101.82,140.8,0,6.79,7.12,406.68,4.22,0.57,3.31,0,2.4,6.34,0,0,40.5,0,37.54,1.77,3.31,53.93,5.73,78.09
108-118,0,0,0,0,15.45,137.77,2411.57,0.52,0.9,10.75,66.7,2.07,0,0.74,24.49,2.99,192.64,2.7,5.72,81.78,199.29,0,2.41,6.19,635.56,12.39,1.42,8.93,0,3.52,0.64,0,0,34.46,0,44.55,3.94,4.67,48.91,2.69,67.97
120,0,0,0,0,19.29,43.59,1162.13,0,0,15.13,127.74,11.58,0,0,5.69,0,94.98,1.11,12.87,40.2,216.4,0,30.17,27.74,707.97,15.11,1.91,2.94,0,4.59,0,0,0,31.8,0,54.64,1.99,0,49.43,4.95,73.15
