stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,233.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,128.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.44,0,0,0,0,0,10.84,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0,0,0,100.9,15.44,0,0,34.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.57,0,0,0,0,30.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.02,0,0,0,23.8,0,0,4.8,0,13.3,0,0,0,0,0,0,0,0
 14-21,0,0,2.2,2.47,15.82,4.66,13.61,0,0,0,1.83,0,0,0.84,0,0.86,0,0,0,0,8.22,0,13.5,237.76,1.75,1.37,5.83,2.37,0,0,0,2.78,1,0.88,7.63,60.59,0,0,3.05,0,0
 24-34,0,0,0,0.65,1.31,0.76,25.61,0,0,0,8.85,0.64,0,2.35,0,0,0,0,0,0,30.77,0.81,6.08,491.64,0,13.51,1.94,0,0,2.77,0,0,0,0,2.26,110.97,0,0,6.9,0,0
 36-46,0,0,0,0,1.69,0,37.87,1.82,0,0,19.09,0,0,0.99,0,0,0.88,0,0,0,34.56,3.44,6.21,781.83,0,16.63,1.84,0,0,0,0,0,0,0,0,152.55,0,0.85,1.64,0,0
 48-58,0,0,0,0,8.29,0,115.84,0,0,0,31.76,0,0,0.87,0,0,0,1.44,0,0,18.83,0,1.7,967.88,0,5.19,0.42,0,0,0.4,0,0,0,0,0,144.28,0,0,6.64,0,0
 60-70,0,0,0,0,2.6,2.11,276.57,0,0,3.88,69.71,0,2,0,10.41,0,0,1.31,0,0.59,35.4,0.75,2.5,1303.53,11,4.98,0,0,0,0,0,0,0,0,0,174.64,0,0.61,3.43,0,2.89
 72-82,0,0,1.71,0,8.68,1.98,418.52,0,0,4.66,82.31,1.65,0,0.73,0,0,1.8,9.12,0,1.89,85.66,2.1,4.78,1335.5,0,2.65,2.83,0,1.12,0,0,0,0,0,0,172.59,0,5.53,12.49,0,1.18
 84-94,0,0,2.81,0,16.99,0,353.38,0,0,1.26,53.74,5.4,0,3.4,0,0.8,2.02,8.29,0.57,14.22,75.97,2.1,5.29,980.28,0,10.75,2.67,0,0.83,0,0,0,0,0,0,85.08,0,3.29,0.88,1.13,2.74
 96-106,0,0,2.35,0,12.15,5.07,233.55,0,1.66,0,70.08,3.45,0,0,0,0,0.57,5.11,7.08,0,70.02,4.77,7.86,670.58,0,14.27,3.42,0,0,0,0,0,0,0,0,52.45,2.49,0,23.99,1.24,10.33
108-118,0,0,0.79,0,15.08,0,288.2,0,1.74,0.75,61.73,2.05,0,7.75,1.35,0.7,10.73,1.06,1.1,2.29,82.37,7.16,9.06,944.56,0,11.5,2.67,0,6.22,5.22,0,0,0,0,0,25.33,0.63,1.16,12.98,2.97,18.65
120,2.82,0,0,0,19.9,1.53,243.24,0,7.59,4.44,112.4,3,0,1.54,0,0,0,0,0,0,132.76,14.68,16.68,1021.41,0,3.96,2.55,0,13.5,0,0,0,0,0,0,29.01,0,0,22.97,0,0
