stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,74.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,6.28,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,8.99,0,4.76,0,19.96,1.03,0,3.22,0,0,0.87
 24-34,0,0,0,2.92,0,0,0.91,0,0,0,0,0,0.99,0,0,0,1.41,3.07,0,1.46,22.56,0,28.72,0,25.79,0,1.13,5.95,0,0,0
 36-46,0,0,0,1.52,0,6.26,0,1.04,0,1.03,0,0,0,4.99,0,0,0,3.99,0,1.28,21.12,1.06,53.14,0,55.07,0,0,6.71,0,0,1.99
 48-58,0,0,0,0,0,2.02,0,3.07,0,0,0,3.05,0,0,0,0,0,2.06,0.48,0.85,20.7,0,34.31,0,11.08,0,0,9.7,0,0,0
 60-70,0,0,0,0.78,0,16.21,0.81,0,0.78,2.29,0,0,0.58,0.59,0,0,0,7.04,0,0,5.86,0,67.47,0,25.57,0,0,1.15,0,0,0
 72-82,0,0,0,0,0.9,14.29,0.82,0,0,0.92,0,1.02,0.54,0,0.55,10.49,0.87,6.73,2.1,0,10.28,0,125.51,0.66,2.65,0,0,0,0,0,0
 84-94,0,0.66,0,0,0,10.64,0,0,0,0,0,0,1.07,0,4.06,0,0,2.29,0,0,3.94,0,111.73,0,5.88,0,0,0,0,0,0
 96-106,0,0,0,0,0,8.92,0,0,0,0,0,0,0.95,0.56,0,0.77,0,4.09,1.41,0.62,5.59,0,139.05,0,39.31,0,0,0,0,0,0.68
108-118,0,0,0.65,7.31,0,12.69,1.21,1.04,0,1.17,1.51,0,0.45,2.7,0,0,0,4.37,15.54,1.38,29.34,0,111.24,0,26.82,0,0,0,0.67,1.26,0
120,0,0,0,4.95,0,19.84,0,0,0,0,2.34,0,0,4.76,0,0,1.51,5,0,0,8.25,0,139.05,0,22.06,0,0,0,0,0,0
