stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33,0,4.46,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.21,0,12.45,0,0,6.34,0,0,0,0,0
 14-21,0,0,1.08,0,0,0,0,0,0,2.72,0,0,0,0,0,4.78,0,0,0,0,110.38,0.83,0,0,1.44,0,10.61,47.31,0,0,0
 24-34,0,0,8.78,0.63,0,4.2,1,0,0,12.08,3.29,1.33,0,0,0,37.51,16.23,0,0,0.98,619.53,0,0,0,1.76,0,9.21,235.82,1.17,0,0
 36-46,0,0,0.78,0,0,0.87,0.66,0,0,17.53,5.36,20.43,0,0,0,22.02,14.43,0,0,19.45,315.35,0,0,0,0,0,4.49,198.65,0,0,0
 48-58,0,0,0,0,0,0.46,1.27,0,0,8.25,5.66,24.09,0,0,0,35.66,59.96,0,0,0.63,48.85,0,0,0,5.41,0,0,66.14,0,0,0
 60-70,0,0,0,2.19,0,8.1,0,0,0,3.23,12.07,6.41,0,0,0,52.06,64.2,0,7.27,23.79,11.67,0,0,2.89,0,0,0,10.36,0,0,0
 72-82,0,0.62,0,1.32,0,2.22,1.95,0,0,10.96,0.51,1.6,0,0,0,51.96,44.88,0,0,2.69,16.97,0,0,2.19,1.79,0,0,15.75,0.5,0,3.44
 84-94,0,1.29,0,1.54,0,2.16,0,0,0,6.87,3.67,33.85,0,0,0,187.1,16.8,0,0,0,16.8,0,0,0,0.56,0,0,11.2,0,0,0
 96-106,0,0,0,3.79,0,13.01,0,0,6.19,6.97,2.19,28.91,0,0.84,0,231.47,75.61,1.63,7.45,24.16,49.31,0,0,13.59,3.58,1.32,0,6.33,0,1.36,0
108-118,0,0.58,0,7.12,0.5,15.39,0,0,13.26,16.18,0,9.61,4.27,0,1.08,377.89,157.96,1.41,7.75,18.25,38.08,0.51,0,2.58,2.52,0,0,12.96,3.37,0,0
120,0,0,0,0,0,0,0,1.5,0,25.02,0,5.55,0,0,0,253.67,54.33,0,69.16,9.23,49.3,0,0,50.63,6.93,0,0,0,0,0,0
