stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,111.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.6,0,10.72,0,0,0,0,0,0,0,0,65.47,0,0,0,0,0,0,0,0,0,0,158.64,4.82,0,0,46.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,114,0,0,0,9.11,0,0,0,0,125.97,0,0,0,0,0,0,0,0,0,0,610.45,5.34,0,0,94.58,0,0,0,10.45,0,0,0,0,0,0
 14-21,0,0,0.96,90.36,0.86,0,9.96,0,0,6.81,0,7.46,0,0,1.87,0,0,1.15,9.02,0,0,4.13,225.61,12.29,1.03,0.85,1.8,0,15.49,9.86,0,7.92,76.44,0,0,0,0
 24-34,0,0,0,16.79,0,0,50.69,0.7,0,4.9,0,0,1.13,1.33,0.61,0,0,1.55,51.06,0.86,0,11.61,497.81,0.67,5.35,12.4,0,0,11.42,0,0.97,1.28,104.29,0,0.98,0,0
 36-46,0,0,0,3.91,0,0,85.65,0,0,18.26,0.82,0,0,0,0,0,0,10.06,30.09,0,0,5.7,416.9,0,0,0.69,0,0,4.36,0,0,0,85.25,0,0,0,8.94
 48-58,0,0,0,21.59,3.66,0,122.48,1.1,0,42.22,0,0,0.55,0,0,0,0,0.37,35.18,0,5.77,3.81,129.22,0,0.4,2.35,0,0,0,0.92,2.74,0,25.83,0,2.93,0,1.62
 60-70,0.81,0,0,6.34,0,0,108.59,8.57,1.99,17.26,3.84,0,0,7.25,0,0,4.76,0,39.14,0,1.43,3.33,104.64,0.87,0.98,0,0,0,0,0,0,0,10.32,0,3.22,0,0
 72-82,0,0,0,4.92,0,0,41.62,0,0.58,33.69,0.55,0,0.55,0,0,0,0,2.29,35.79,0,1.12,3.11,51.21,0,0,3.91,0,0,2.25,0,0,0,1.75,0,1.95,1.44,0
 84-94,0,0,0,0.58,0,0,36.57,0,0,12.45,0.73,0,0.78,0,0,6.74,0,0,22.37,0,1.23,2.3,43.89,0,1.04,0.76,0,0,0,0,0,0,6.68,0,4.82,0,0
 96-106,0,0,0,0.71,0,0,36.45,0,0,27.01,0.81,0,0,0.59,0,0,0.88,1.2,9.9,0,0.93,0.62,18.29,0,0,0.74,0,0,2.05,0,0.59,0,4.81,0.67,1.3,0.74,0
108-118,0,0,0,0.58,1.53,0.85,24.07,0,0,11.27,2.97,0,0,0,0,0,0,0.84,11.07,0,0,0.42,43.41,0,2.23,2.07,0,3.53,0.64,0,2.78,0,0,0,3.04,0,0
120,0,0,0,1.13,1.11,0,25.39,0,0,48.76,0,0,0,0,1.1,2.88,2.39,3.74,43.7,0,0,2.04,62.2,0,2.92,3.28,0,0,0,0,0,0,0,0,0,0,0
