stage,blastomeres,eye,immune,neural,notochord,otic,paraxial_mesoderm
  7-9,3.78,0,0,10.18,5.08,0,21.36
 10-12,0,0,0,7.51,0,0,0
 60-70,0,0,0.78,0,0,0,0
 72-82,0,0.67,0,0,0,0,0
 84-94,0,0,0,6.21,0,0,0
108-118,0,0,0,2.74,0,0,0
120,0,0,0,0,0,6.39,0
