stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,83.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.68,0,0,0,0,0,0,0,0,0
  5-6,7.56,94.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,8.01,0,0,0,0,0,0,0,0,0
  7-9,3.39,6.15,0,0,0,11.23,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,13.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.38,0,0,0,19.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.76,0,5.12,0,0,0,3.99,0,0,0,0,0,0,0,0,1.34,0,0,1.73,20.83,1.06,0,1.2,2.04,0,7.27,3.61,0,2.22,3.06,55,0,0,0,2.19
 24-34,0,0,0,0,0,7.03,0,0,0,12.72,0,0,0,0,0,0,0,0,10.77,0,0,4.09,56.74,0.69,0,0,0,0,15.6,0,0.69,0.85,1.41,35.95,0,4.41,0,68.77
 36-46,0,0,2.09,0,0,28.74,0,8.76,0,9.97,0,0,0,0,0.62,0,0,0,5.97,0,0,2.77,75.07,1.09,0.99,0,0,0,32.14,0,0,0,0,24.75,0,0,0,59.97
 48-58,0,0,3.64,0,0,18.06,0,0,3.45,21.27,0,0,0,0,0,0,1.39,0,14.19,0.46,0,2.37,46.06,0,0.44,5.01,0,0,9.13,0,0,0,0,21.05,0,1.83,0,58.53
 60-70,0,0,16.05,0,0,43.08,0,0,0.74,23.11,0,0,0,0.69,0,0,0,0,19.75,0,0,0,93.14,0,0,0,0,0,18.9,0,0,0,0,21.01,0,13.37,0,14.07
 72-82,0,0,0.77,21.32,0,44.91,0,0,0,28.06,0,0,1.41,0,0,0.89,0,0,10.36,1.11,0.51,0,97.71,0,0,0,0,0,12.69,0,0,0,0,1.98,0.91,30.09,3.41,5.66
 84-94,0,0,0,2.59,0,28.56,0,0,0.67,8.82,0,0,0,2.19,2.82,0,0,0,16.07,0.93,2.45,0,40.7,0,0,0.79,0,0,34.31,0,0,0,0,7.63,0,21.96,0,18.4
 96-106,0,0,0.7,0.68,0.89,27.47,0,1.32,0,10.77,1.27,0,0,0,0.92,0.58,0,0,18,1.75,12.73,0,23.37,0,0.69,4.14,0,0,11.47,0,1.33,0,0,1.66,0.66,70.65,0,0
108-118,0,0,1.82,0.48,0,26.79,0.42,2.73,0,8.36,2.94,0,0.93,0,5.87,0,0.6,0,14.45,0.75,1.29,0,18.89,0,0,9.74,0,1.22,26.59,0,0,0,0,4.29,0,28,1.65,0
120,0,0,1.49,0,0,2.65,0,0,0,16.07,1.31,0,0,0,9.45,0,4.94,1.05,40.36,0,0,0,201.54,0,0,1.09,0,0,15.02,0,0,0,0,13.12,1.95,62.62,17.64,0
