stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06,0,5.38,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0,0
 14-21,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,1.6,0,1.85,0.9,0,0
 24-34,0,0.75,5.99,0,0,0,0.75,0,0,0,0,0,0,0,0,3.92,2.66,0,0,5.06,0,16.11,0.75,1.85,5.67,0,0
 36-46,0,0,1.34,0,0,9.78,0.8,0.73,1.7,0,0,0,0.83,0,0,20.22,1.5,0,1.86,20.54,0,17.21,0,5.02,3.5,0,0
 48-58,0,0,3.63,0,0,15.5,0.89,0,0,0,0.48,0,0,0,0,23.72,2.05,0.59,0,32.22,0,16.17,0,1.47,7.72,0,11.2
 60-70,0,0,11.31,0,0,16.25,1.41,0,10.89,0,0,0,0,5.84,0.59,1.46,9.06,0,0,7.66,0,27.74,0,0,2.91,0,16.95
 72-82,0,0,2.68,19.54,0,5.09,6.27,0,2.8,0.76,0,0.81,0,1.78,0,0,4.91,0,0,26.62,0,4.39,0,0,12.7,4.63,16.79
 84-94,0,0,7.5,5.09,0,13.75,6.1,0.6,5.88,2.43,0,0.73,0.68,2.7,0,1.74,0.59,0,0,3.58,0,24.46,1.11,0,8.5,0,2.62
 96-106,0,0,15.4,13.71,0,10.94,4.09,5.19,4.1,2.24,2.94,3.36,0,0,0,4.96,4.35,0,0,23.64,0,23.24,0,0,4.19,0,7.84
108-118,0,0,10.57,6.49,0.76,6.86,4.75,0.74,10.08,0.97,0,1.97,0,2.03,0,2.68,4.02,0.87,0.75,11.94,0.51,5.47,1.04,0,5.68,0,8.99
120,0,0,11.18,0,0,0,10.5,0,0,4.27,0,0,0,0,0,0,1.41,2.21,0,12.6,2.88,23.47,0,0,21.4,0,0
