stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.64,0,0,0,3.57,0,0,0,0,0,0,0,0,0
 10-12,0,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.57,0,0,0,12.17,0,0,0,4.33,0,0,0,0,0
 14-21,0,0,20.63,0.92,4.99,0,0,0,3.61,0,0,0,0,0,0,0,13.98,0,9.53,58.97,0.99,1.07,0,0,0.96,0,0,46.45,0,0,0,0,0
 24-34,0,0,7.35,0,0,0,0,0,2.14,0,0.85,0,0,0,1.12,0.62,13.26,0,4.75,28.13,0,3.32,2.54,0,0,0,0,21.34,0,0,0,0,0
 36-46,0,0,1.93,0,0,0,3.16,3.01,0.98,0,0.63,0,0,0,0,0,18.27,0,4.21,30.28,0,1.47,0.57,0,0,0,0,3.78,0,0,0.96,0,0.57
 48-58,0,0,21.73,0,0,0,0.96,1.09,1.84,0,0,0,0,0,0,0,16.32,0,2.3,30.35,0,0.99,0.66,0,0,0,2.82,2.32,0,0,0,0,0
 60-70,0,0,8.29,0,4,0,4.01,0,10.93,1.05,0,0,0.62,0,0,0,16.95,0,2.72,35.93,0,1.29,0,0,0,0,0,2.72,0,0,0,0,0
 72-82,0,0,1.8,0,2.84,0,0,0,1.33,0,0,0,0,0,0,0,13.86,0,1.09,8.7,0,0,0,0,0,0,0,6.43,0,0,2.05,0,0
 84-94,0,0,7.25,0,0,0,0.57,0,0.74,0.62,0,0,0,0,0,0,16.34,0,0,17.23,0,0,5.26,0,0,0,0,0,0.55,0,4.94,0,0
 96-106,0,0,5.47,0,1.23,0,0.58,0,2.12,0,0.87,0,0,0.63,0,0,24.74,0,1.23,1.33,0,5.75,0.83,0,0,0,0,0,0,0.93,7.9,0.63,0
108-118,0,0,6.23,0,0.57,0.49,1.03,0.72,5.77,0,0,0.75,0,0,0,1.61,13.28,1.9,0,13.69,0,4.63,1.48,0,0,0,0,0,0.42,0,0,0,0
120,0,0,6.82,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0,53.3,0,1.11,0,0,0,4.38,0,0,0,0,0,0,0
