stage,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,211.36,0,0,0,0,0,0,0,0,60.54,0,0
  5-6,48.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.1,0,3.73,0,0,0,12.99,0,0,0,0,0
 10-12,0,0,5.88,0,0,0,22.78,0,9.22,0,6.12,0
 14-21,0,0,0,0,0,0,0,1.51,0,0,0,0
 24-34,0,0,0.62,0,0,0,1.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.52,0,0,0,0,0
 48-58,0,0,0,0.66,0,0.73,15.05,0,0,0,0,2.49
 60-70,0,0,1.76,0,0,0,12.49,0,0,0,0,1.18
 72-82,0,1,9.27,0,0,0,8.6,0,0,0,0,2.39
 84-94,0,1.3,3.14,0,0,3.79,8.41,0,0,0,0,1.67
 96-106,0,3.02,10.01,0,0,1.4,2.46,0,0,0,0,4.25
108-118,0,13.57,0,0.72,0,0,5.65,0.48,0,0,0,1.97
120,0,14.24,2.79,0,1.51,0,17.22,0,0,1.45,0,0
