stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.65,574.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.5,85.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,0,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,0.87,0,0,0,0,0,2.77,0,2.09,0,5.25,16.14,3.11,0,0,0,0,0.81
 24-34,0,0,0.75,13.53,0.69,0,7.57,0,2.42,0.92,0,0,0,2.15,1.95,0,0,0,2.61,1.65,10.62,0,0,4.87,67.46,0,3.12,0.61,0,23.03,0,0,2.06,9.38,3.87,8.37,0,0,1.48,0,2.75
 36-46,0,0,1.35,10.18,4.49,0,35.56,0,0,0,10.05,0,0,0,22.89,1.21,0,0,0,1.49,7.54,0,0,1.56,66.22,0,0.76,0.77,0,31.32,0,0,0,0,0,11.28,0,0,2.56,0,5.29
 48-58,0,0,0,14.16,0.53,0,81.56,0.78,4.65,0.71,20.95,0,0,1.67,11.02,0.49,5.7,1.07,2.23,0.99,30.16,3.5,0.4,9.06,91.47,0.85,1.45,1.37,0,9.36,0.65,0,6.32,0,0,22.35,0,0,1.98,0,11.04
 60-70,0,0,0,12.99,0,0,121.03,0,2.79,0,44.65,0,1.88,0.76,2.89,0.86,2.32,0,1.56,0,31.32,1.28,0,3.24,121.15,5.06,4.61,3.46,0,54.9,0,0,2.65,0,0,25.55,0,0,4.16,0,11.7
 72-82,0,0,1.61,16.34,10.15,0,178.82,0,2.8,5.35,52.74,6.87,0,3.01,3.52,0.63,0.93,0.55,23.02,0,110.45,0.57,2.31,3.48,99.06,0,8.27,4.05,1.06,17.29,0,0,1.48,0,0,17.21,1.84,3.74,11.83,1.56,21.6
 84-94,0,0,0.66,17.3,5.14,0,118.66,0.56,9.76,2.96,41.95,5.9,0,0,9.02,2.83,6.58,0.66,2.72,6.1,80.14,0,0.72,7.32,63.87,0.66,3.69,2.15,0,28.45,0,0,0,0,0,8.37,1.89,0,9.03,2.97,11.37
 96-106,0,0,2.21,18.77,24.79,0.77,52.59,0.76,3.68,3.75,79.09,13.13,0,0.96,13,4.56,8.85,3.07,3.48,1.9,92.02,2.18,3.17,7.88,99.49,1.42,8.79,1.99,6.56,30.85,0,0,1.45,0,0,4.75,2.56,4.06,7.47,2.09,1.44
108-118,0,0,0.75,35.63,6.96,0,100.19,0.55,2.72,1.09,76.46,13.65,0,2.16,11.57,7.65,4.65,0.94,7.6,1.17,122.47,2.36,7.04,13.72,112.8,0.43,4.17,7.3,4.63,17.84,0,0,0,0,0,11.35,19.11,0.75,9.65,1.48,10.21
120,0,0,0,23.1,1.9,0,82.06,0,5.57,12.97,92.12,9.61,0,0,12.13,0,0,8.64,2.75,0,108.67,0,5.92,10.78,177.23,4.81,3.06,24.23,0,46.04,2.5,0,2.12,0,0,0,7.15,2.68,18.85,15.02,3.14
