stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,5.94,0,0,0.81,0,0,0,1.75,0,0,0,0,0.97,0,0,0,1.01,1.86,0,0,0,19.12,0,0,0,0,8.88,0,1.27,2.62,8.5,0,0,1.62,0,0
 24-34,0,0,0,6.56,0,0,3.72,0,0.71,0,1,0,0,2.02,0,0.64,0,0,0,0,8.32,0.63,0,0.64,78.86,0,6.28,1.95,0,21.09,0,0,0,10.4,0,0,1.23,0,1.18
 36-46,0,0,0,1.52,2.92,0,6.26,0,2.33,1.74,2.08,0,0,0,0,0,0,0.77,0,25.13,8.3,0,2.52,0,25.67,0,10.35,0,0,47.49,1.31,0,0,9.08,0,0,0.85,0,2.03
 48-58,0,0,0,1.15,0,0,17.93,0.56,0.62,9.53,2.97,0,0,0.49,0,0,0,0,0,9.04,12.06,0,0,3.89,29.12,4.46,10.73,0,0,35.83,0,6.18,0,5.79,0,0,1.03,0,11.92
 60-70,0,0,0,1.26,0,0,22.49,0,0,4.25,0,0,1.21,0,0.69,0,0.89,1.57,1.45,14.72,6.95,0,0,1.1,20.08,0,14.64,0,0,28.43,0,0,0,2.18,0,0,1.75,0,2.85
 72-82,0,0,0,1.23,0,0,31.14,0,0,6.16,4.4,0.63,0,1.65,5.14,5.32,6.51,5.03,0,6.33,21.99,0,0,1.4,43.6,0,29.81,0.67,1.2,14.99,0.63,0,0,0.89,1.85,0.49,3.59,0.75,17.99
 84-94,0,0,0,1.43,0,0,17.24,0,0,3.22,2.5,6.51,0.64,0,0,1.72,1.42,0,0,5.67,12.17,0,0,0.71,29.15,0,14.69,0,0,37.44,0.8,0,0,0.71,0,3.49,10.26,0,0
 96-106,0,0.91,0,7.94,0,1.94,25.73,0,0.71,10.1,3.91,2.82,0,0,1.69,2.14,4.3,6.35,3.25,11.27,34.71,0,0,0,41.02,0.85,17.51,0,0.97,45.12,3.26,0,0,5.76,0,0,7.99,0,10.04
108-118,0,0,0,6.71,0,0.59,16.93,0.42,0.45,8.06,5.05,1.29,0,0,1.34,0.69,9.75,3.56,2.93,5.62,26.23,0.77,1.08,0,49.39,1.42,29.02,1.78,0,17.22,1.13,0,0,2.11,0.96,0,8.42,1.3,1.31
120,0,0,0,9.39,0,0,30.35,1.14,0,13.33,7.86,0,0,0,17.94,2.5,8.39,16.7,1.2,10.95,85.32,0,0,0,51.07,0,10.38,0,0,25.28,0,0,0,0,0,0,17.39,0,0
