stage,epidermis,erythrocytes,eye,glial,mesenchyme,neural,periderm,spinal_cord
 14-21,0,0.81,0,0,0,1.1,0,0
 24-34,0,0,0,0,0,5.21,0,1.02
 36-46,0,0,0,0,0,7.45,0,2.06
 48-58,0,0,0,0,0,6.67,0,4.29
 60-70,0.81,0,0,0,0,15.93,0,4.35
 72-82,0,0,6.33,0,0.7,13.97,0.75,5.45
 84-94,0,0,2.74,0,1.77,10.31,0,0
 96-106,0,0,0.6,0.99,0,4.16,0,0
108-118,0,0,0,0,1.6,7.85,0,0
120,0,0,24.14,0,0,0,0,0
