stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,11.1,198.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.62,317.49,0,0,0,0,0,0,0,10.32,0,0,0,0,0,38.44,0,0,0,10.04,0,0,0,0,0,0
  7-9,11.43,0,23.49,0,0,81.92,0,0,0,5.64,0,0,0,0,0,275.67,9.16,0,0,79.86,0,0,0,0,0,0
 10-12,0,0,14.35,0,0,50.81,0,0,0,11.83,0,0,0,0,0,445.29,30.93,0,0,184.78,0,25.21,3.87,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,3.98,0,0,0,0,1.15,0,0.9,1.09,0,0
 24-34,0,0,0,0,0,3.52,0,0.75,0,0,0,1.31,2.07,0,0.61,31.82,0,1.57,0,0,0,0,1.92,4.8,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,0,0,0,0,4.05,0,25.42,0,0,0,0,0,0,0,5.47,0,1.02
 48-58,0,0,0,0,0,4.91,0,0,9.41,0,0,0,0,0,2.57,11.03,0,0,0,0,0,0,0,1.43,0,0
 60-70,0,0,0,0.76,0,13.91,2.87,0,1.35,0,0.78,0,0,0,0,5.91,0,0.84,0,0,0,0,0,2.35,1.92,0
 72-82,0,0,0,0.59,0,14.21,0,0,1.27,0,0,0,0,0,6.19,12.66,0,1.99,1.57,0,1.32,0,0,0.54,0.56,0
 84-94,0,0,0,0,0.89,15.06,0,0,0.82,0,0,0.69,0,0,3.66,5.1,0,0,1.22,0,2.56,0,0,4.39,0,0
 96-106,0,0,0,0.71,0,7.29,0,0,0,0,0,0,0,0,1.5,6.59,0,1.79,0,0,0,0,0,0.73,0,0
108-118,0,0,0,2.95,0,0.88,0.64,0,0,0,0,0.47,0,0.97,0,2.38,0,0,0,0,1.33,0,0,1.75,0,0
120,0,0,0,9.3,0,11.11,0,0,1.8,0,0,3.91,0,0,0,12.97,0,4.59,0,0,2.57,0,0,0,0,0
