stage,axial,blastomeres,epidermis,eye,glial,hatching_gland,heart,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,200.67,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0
  5-6,14.57,219.5,0,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0
  7-9,3.28,3.89,0,18.26,0,6.13,0,0,0,0,138.09,7.89,0,57.56,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.61,0,0,0,0,121.78,0,0,13.93,0,4.94,0,4.94,0,0,0
 14-21,0,0,2.09,0,0,0,4.35,3.9,0,0,15.74,1.88,0,0,0,0,1.36,0,1.92,0,0
 24-34,0,0,0.89,14.25,0,0,0,6.03,1.03,2.25,75.44,0,0.85,0,1.42,0,0,0,4.97,0.79,0
 36-46,0,0,0,12.48,0,0,0,5.61,0,1.13,34.68,0,0,0,0,0,0,0,4.09,0,0
 48-58,0,0,0,24.71,5.37,0,0,1.35,0,0,29.36,0,0,0,0,0,0,0,0.56,0,2.69
 60-70,0,0,0,51.55,0,0,0,3.54,0,0,39.44,0,0,0,0,0,0,0,4.18,0,0
 72-82,0,0,0,9.69,0.62,0,0,1.26,0,0,8.22,0,0,0,0,0,0,0,0.7,0,0
 84-94,0,0,0.62,4.06,0,0,0,2.47,0,0,9.47,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.83,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,4.71,0,0,0,0,0,8.25,0,0,0,0,0,0,0,0,0,0
120,0,0,1.36,11.59,0,0,0,3.1,0,0,14.17,0,0,0,0,0,0,0,0,0,0
