stage,blastomeres,eye,neural,periderm
  3-4,57.13,0,0,0
  5-6,61.94,0,0,0
  7-9,0,0,7.54,0
 10-12,0,0,5.07,0
 24-34,0,0,0,0.85
 72-82,0,0,3.99,0
 84-94,0,3.11,0,0
120,0,3.81,0,0
