stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,muscle,neural,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.99,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,4.15,0,0,0,0,0,0,0
 36-46,0,4.16,0,1.33,0,0,0,0,0,0,0,0.84,0,1.18,1.42,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,2.16,0.59,1.7,2.61,0,1.92,0,0.9,0,0
 60-70,0,0,0.81,0.69,0,0,0,0,0,0,0,10.86,0,0,0,0,2.11,0,0
 72-82,0,0.57,2.89,0,0,4.44,0.66,0.56,0,2.26,0,0.79,0,0,0,2.69,4.21,0,0
 84-94,0,1.47,0,0,0,0.87,0.67,0.89,0.99,7.14,0,5.42,2.69,0,0,0,0,0,0
 96-106,0,3.34,0,0,1.68,0,0.66,0.77,2.98,2.99,0.57,12.66,0,0,0,0,10.1,0.58,0
108-118,0,0.99,4.65,0,0,0,1.85,0.96,3.29,0,0,5.27,3.62,0,0,0,0,0,0.96
120,0,4.13,0,0,3.6,0,0,0,0,18.54,0,0,2.31,0,0,0,0,0,0
