stage,epidermis,eye,glial,mesenchyme,muscle,neural,periderm,spinal_cord
  5-6,0,0,0,0,0,0,8.88,0
  7-9,0,0,0,0,0,4.01,0,0
 14-21,0.83,0,0,0,1,0,0,0
 36-46,0,0.9,1.78,0,0,2.25,0,0.66
 48-58,0,0,0,0,0,0.51,0,0
 84-94,0,0,0,0,0,7.47,0,9.43
108-118,0,0,1.41,2.68,0,9.11,0,0
