stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,17.45,234.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.85,0,0,0,0,0,0,0,0,0,0
  5-6,65.96,129.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.62,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.91,0,0,0,10.88,0,0,4.76,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,5.78,0.91,0,0,0,0,0,1.41,0,0,0,0,0,0,0,0,4.45,6.66,0,0,39.46,17.66,1.05,0,0,0,0,0,0,0,351.29,687.5,73.34,0,0,0,0,0
 24-34,0,0,1.05,19.24,33.14,0,25.58,783.05,0,3.47,4.39,0,0,8.43,1.85,0,0,0.62,0,43.76,27.26,0,0,208.4,434.28,4.41,1.57,1.57,0,0,10.63,0.95,1.75,668.49,951.39,126.53,0,0,3.89,0,3.26
 36-46,0,0,0,12.02,32.35,0,33.6,1737.01,0,0,71.51,0,0,4.08,0,0,0.71,0,0,61.6,41.26,0,0,63.57,1306.15,3.5,0,1.96,7.09,0,14.51,0,0,654.55,59.3,159.02,0,0,1.29,0,8.02
 48-58,0,0,0,25.52,80.38,0,189.22,1395.36,1.2,1.99,146.43,0,0,1.23,2.79,0,0.38,0.41,2.56,44.1,65.82,0.42,0.51,85.28,1573.97,10.8,3.48,0.42,4.77,0.73,10.23,0,0,483.78,0,195.05,0,0,16.76,0.48,22.49
 60-70,0,0,0,26.69,90.94,0,264.89,929.89,0,0,148.51,0,0,11.53,0.6,0,0,0.77,0,30.64,44.09,1.83,8.54,91.44,1396.93,2.27,0,2.2,2.43,0,11.48,0,0.73,275.91,0,143.37,0,0.79,5.03,2.78,11.39
 72-82,0,0,0,10.62,392.46,0,338.16,554.02,2.44,7.66,104.51,0,0,2.19,4.12,0,6.03,0,5.28,0.55,84.87,1.45,10.84,71.88,1365.52,0,2.22,3.65,0,4.83,13.96,0,0,163.81,0,119.42,0.74,0.85,21.85,2.5,22.55
 84-94,0,0,0,31.27,349.35,0,360.87,1029.07,9.86,2.95,103.23,2.08,3.67,0.8,14.54,1.16,5.12,1.35,11.78,5.9,107.37,0,7.62,108.94,1269.71,5.73,0.71,2.66,0,0,33.05,0,0,332.33,0,103.07,0,0.88,18.11,14.57,23.14
 96-106,0,0,0,36.57,428.17,0,508.07,1434.92,15.59,4.19,125.99,1.09,0,5.43,6.13,2.56,0.75,3.72,15.77,1.37,136.94,6.26,9.24,102.6,1356.43,0,12.35,7.28,0,2.84,42.55,0,0.61,266.4,0,67.86,0.62,5.2,33.67,18.28,40.25
108-118,0,0,0,40.52,251.34,2.53,350,918.05,5.13,2.01,125.76,2.42,0,6.84,6.54,2.33,9.55,0.41,7.3,1.71,113.91,6.56,6.1,133.94,1347.06,5.93,9.69,8.48,0,4.36,26.27,0,0,231.34,0,72.26,5.26,0.5,7.39,8.69,4.98
120,0,0,0,14.43,337.6,5.27,391.26,417.77,6.62,3.99,312.06,0,0,1.15,5.44,0,21.43,0,4.54,0,57.43,0,4.43,115.41,2145.02,22.36,1.45,9.34,0,5.5,5.54,4.48,0,82.23,0,76.26,0,7.04,4.81,20.25,0
