stage,blastomeres,eye,fast_muscle,glial,muscle,neural,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord
  3-4,14.93,0,0,0,0,0,0,0,0,0,0
  7-9,3.29,0,0,0,0,35.48,3.42,0,0,0,0
 10-12,0,0,0,0,0,17.83,10.12,0,3.68,0,0
 14-21,0,0,0,0,0,2.28,0,0,0,1.25,1.34
 24-34,0,0,0,0,0,3.72,0,0,0,0,0
 36-46,0,0,0,0,0,4.56,0,0,0,0,0
 48-58,0,0.53,0,0.88,0,5.84,0,0,0,0,0.7
 60-70,0,0,0,2.37,0.8,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.4,0,0,0,0,4.89
 84-94,0,0,3.76,1,0,0,0,0.55,0,0,0
 96-106,0,1.34,0,0,0,6.52,0,0,0,0,0
