stage,blastomeres,endocrine_pancreas,erythrocytes,eye,fast_muscle,glial,hatching_gland,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  5-6,26.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.2,0,0,0,9.57,0,3.25,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,13.7,0,10.2,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0,1.71,0.96,0
 24-34,0,0,0.83,0,0,0,0,0,0,1.93,8.07,0,0,0,0,0,0
 36-46,0,0,0.67,0.73,2.1,0,0,0,0.71,0,5.16,0,0,0,0,0,1.55
 48-58,0,0,0.53,1.8,0,0,0,0,0,0,4.1,0.41,0,0,0,0,0.53
 60-70,0,0,0,4.8,0,0,0,0,1.64,0,2.09,0,0,2.24,0,0,2.33
 72-82,0,0.62,0,1.06,0,0,0,0,0,0,9.84,0,0,0,0,0,0
 84-94,0,0,0,14.92,0,0.69,0,0,0,0,5.66,0,0,0.78,0,0,0
 96-106,0,0,0,3.38,0,0,0,0.75,0,0,2.66,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0
