stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,0,10.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,59.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,0,0
  7-9,11.64,0,0,5.94,0,0,3.33,0,0,0,0,13.46,0,0,0,0,0,0,0,0,0,38.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.08,0,0,0,13.73,0,0,0,0,0,0
 14-21,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0.88,6.04,0,0,0,0,0,0,2.8,0.83,0,0
 24-34,0,0,0,0,1.98,0,0,0,0.64,0,0,0,1.16,0,0,0,0,0,4.35,0,0,10.92,0,0,0,0,0,2.62,0.71,3.13,3.62,0
 36-46,0,0,0,0,0,0,0,0,2.42,2.72,0,0,0,0,0,0,0,0,0.71,0,0.68,23.27,0.6,0.76,0,0,0,0,0,4.04,0,0
 48-58,0,0,0.42,0,0,0.38,2.68,0,0,1.5,0,1.18,0,0,5.4,0.4,0,0,0.42,0,0,14.77,0,0.91,0,0,0,3.16,0,1.01,2.18,0.63
 60-70,0,0,0,0,3.94,1.64,8.55,0,0,0,0,0,0,0.65,0,0,0,0,3,0,1.44,14.07,0,0,4.18,0,0,1.57,0,4.52,0,0.79
 72-82,0,0,0,0,0.84,1.02,3.39,0,0,5.31,0,0,0,0,0,0,0,0,10.79,2.02,0,24.24,0,0,0.51,0,1.77,0.71,0,0.96,6.46,0
 84-94,0,0,0,0,0.9,4.13,12.78,0,0,0.56,0,0,2.76,0,0,0,0,0,5.83,0,0.57,11.63,1.25,0,0.55,0,1.68,0.69,0,0,0.69,0
 96-106,0,0,0,0,2.46,1.56,15.56,0.9,0,0,0,0,0,0,0,0,0,0,1.12,0,0,10.41,0,0,0,0,0,3.67,0,0,1.95,1.13
108-118,0,0,0,0,1.33,1.13,6.93,1.59,0,2.85,1.55,0,0,0,0,0,0.43,1.15,4.54,0,1.14,9.79,0,0.51,0,0,0,2.46,0,0,2.24,0
120,0,0,0,0,4.1,2.61,7.62,0,0,11.42,0,0,0,4.22,0,0,0,0,13.03,0,0,7.74,0,0,1.86,0,0,0,0,0,6.85,0
