stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,102.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.29,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,43.83,0,0,0,5.19,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.3,0,0,0,16.59,0,0,4.37,0,16.38,0,0,0
 14-21,0,0,0,0.83,8.41,2.88,0,0,55.18,0,0,0,0,0,0,3.82,0,0,75.54,0,11.62,6.95,4.11,0.92,1.55,18.94,0.81,156.8,4.97,0,0
 24-34,0,0,0.74,1.97,0.66,4.28,0,0,52.45,0,0,0,0,2.63,2.07,6.1,0,1.61,81.11,0.7,37.68,8.27,0,0,0,15.51,1.35,97.02,9.17,0,0
 36-46,0,0,0,0.93,0,4.34,0,0,27.34,0,0,0.93,0,5.5,6.34,0,0,0,73.82,0,41.42,6.44,0,0,0,5.57,0,66.3,1.36,0,0
 48-58,0,0,0,0.94,0,6.73,0,0,14.09,0,0,0,0.8,0,1.74,1.07,0.4,0,60.82,0,32.66,3.95,0,0.84,0,0.5,0,65.94,2.53,0,0
 60-70,0,0,0,2.08,0,23.38,0,0,33.48,0,0,0.76,3.25,0,0,1.47,0,0,40.8,0,19.05,1.5,0,0.63,0,2,0,33.22,0,0,0
 72-82,0,0.62,0.89,0,0,12.35,0,0,38.68,0,0,0,5.61,0,3.96,1.91,6.74,0,51.51,0,20.67,10.15,0,0,0,1.15,0,26.69,1.01,1.71,4.42
 84-94,0,0,2.78,0,0,6.38,0.76,0.7,10.91,4.57,0,0,0.73,0,0,1.4,0,0,43.32,0,30.39,10.74,0,0,0,2.46,0,24.08,0,0,0
 96-106,0,0,0,1.24,0,8.68,0,0,17.51,1.17,0,0,4,4.97,0,0.97,0,0,49.25,0,46.66,18.78,0,0,0,1.4,0,12.74,0,0,1.24
108-118,0,0.8,1.86,0,1.66,4.03,0,0,29.26,0.52,0,0,4.37,0,0,1.64,0.49,0,54.03,0,38.43,11.61,0,0.51,0,2,0,12.63,0,0,0
120,0,0,0,7.57,0,10.02,0,0,16.03,0,0,0,5.12,0,0,12.9,0,0,94.85,0,35.93,44.26,0,0,0,12.5,0,5.53,0,0,0
