stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,21.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.24,2.48,8.14,0,0,0,0,0,0,10.94,0,0,0,0,0,0,0,1.51,0,0,44.7,1.48,4.91,0,0,0,0,1.01,0,6.46,52.41,24.08,0,0,0,0,0
 24-34,0,0,1.35,1.42,0,0,9.72,0,0,0,10.68,0,0,0,0,0,0,0,3.84,0,0,474.93,0,4.02,0,0,0,0,0,0,0.87,7.98,104.98,0,0,9.81,0,0
 36-46,0,0.95,0,0,0,0,151.53,1.82,0,0,93.84,0,1.05,0,0,0,0,0,9.75,0,0,1041.84,0,9.54,2.7,0,0,6.51,0,0,0,0.71,196.58,0,0,16.77,0,0.81
 48-58,0,0,0,13.14,1.7,0,738.66,0,0,0.44,272.57,0,0.51,0,0,0,0,0,15.23,0.42,3.09,1486.89,0.93,4.66,0,0,0.97,3.89,0,0,0,0,213.3,0,0,19.12,0,7.93
 60-70,0,0,0,12.12,0,0,2454.9,0,2.17,0,699.05,0.79,0.95,2.61,0,0,0,0,30.91,4.38,2.9,1928.14,8.85,9.96,2.23,0,0.63,7.42,0,0,0,0,264.02,0,0,9.48,0,0
 72-82,0,0.5,0,17.64,0,0,3347.43,0,0.5,0,1029.46,0.56,0,0,0,0.75,0.95,6.65,90.82,4.14,1.99,1790.63,0,6.61,0,0,0,8.15,0,0,0,0,189.05,0.53,1.64,11.39,3.46,2.94
 84-94,0,1.95,0,37.18,0.65,0,2530.79,1.12,6.13,0,790.01,2.83,0.85,0.77,0,4.83,0,0,58.73,2.75,6.95,1220.49,1.46,7.81,0,0,0,8.74,0,0,0,0,142.1,5.7,1.53,16.39,1.88,16.14
 96-106,0,0,0,20,27.02,1.47,2428.21,0.87,0,0,846.02,0.85,0.96,9.4,1.23,1.52,0,13.68,39.53,4.02,1.99,1246.13,0.62,0.89,1.86,0,5.87,17.2,0,0.7,0,0,61.38,4.97,0,9.2,1.44,0
108-118,0,5.29,0,28.03,0.45,0,2128.11,0,0.46,2.13,1025.63,0.52,0,11.61,2.81,0.42,0,3.11,52.84,6.76,5.45,1311.27,0,4,2.59,0,0.95,2.57,0,0,0,0,69.87,0.63,2.33,4.53,5.13,0
120,0,0,1.28,23.91,0,14.01,2213.36,1.01,0,0,2202.85,8.88,0,7.82,1.65,3.86,0,0,50.26,18.77,23.34,2604.53,0,19.01,2,0,0,7.37,0,0,0,0,91.56,0,8.16,18.75,0,0
