stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,597.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0
  5-6,44.61,881.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.52,25.98,0,0,16.73,0,42.03,0,0,0,0,0,0,0,0
  7-9,21.77,33.22,0,10.43,0,0,89.27,0,0,0,0,20.27,0,0,0,0,0,0,0,0,0,535.22,29.66,0,0,213.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.05,0,24.56,0,10.92,51.5,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,849.11,61.7,0,0,259.35,0,7.72,4.76,55.66,0,0,0,0,0,0
 14-21,0,0,1.69,1.04,5.49,0.93,0.86,0,0,0.97,0,0,1.46,0,0,0,0,2.11,0,0,2.69,47.92,1.63,0,0,0,0,0.92,5.03,0,0.92,15.97,0,0,0,0
 24-34,0,0,0,0,9.39,0,5.92,0,0,0,0,0.76,0.85,0,0,0,0,5.04,0,0,2.29,68.04,0,1.62,1.22,0,0,2.01,0,0,0,30.93,0,0.62,0,0.76
 36-46,0,0,0,0,0,0.58,13.94,0,0,0.69,0,0,0,0,0,0.75,0,2.42,0,0,1.85,83.85,0,0.73,2.53,0,0,1.19,0,0,0,17.74,0,6.55,0,0
 48-58,0,0,0,0,0,0,15.42,0,0,6.7,0,0,1.78,1.26,0,0,0.8,7.94,0,0,0.91,108.84,0,0,0,0,0,0.97,0,0,0,9.68,0,0.58,0,0
 60-70,0,0,0,0,4.16,0.72,44.61,1.01,1.13,2.15,0,0,1.29,0,0,1.55,0,2.66,0,0,0.61,150.62,0,2.5,0,0,1.03,2.11,0,0,0,16.57,0,0.73,0,0.69
 72-82,0,0,0,0,0.71,0,22.99,0,0,5.53,0.51,0,0.56,0,0,0,0,9,0,0,0.68,70.58,0,0,0,0,0.87,0,0,0,0,8.06,0,1.42,0,0
 84-94,0,0,0,0,0,1.26,15.89,0.55,0,3.69,0.84,0,0,0.65,0,0,0,5.92,0.98,1.09,3.66,24.99,0,0,1,0,0,1.9,0,0,0,1.13,0,0,0,0.64
 96-106,0,0,0,0,0,0.79,12,0,0,5.48,0,0,0,0,0,0,0,9.83,0,0,0,10.17,0,0,0,0,0,2.26,0,0,0,0,0.87,0,1.31,0
108-118,0,0,0,0,0.96,2.19,17.79,0.41,0,1.39,0.77,0,0,0,0,1.68,0,3.28,0,0,0,38.74,0.48,1.48,0,0,0,3.59,0,0,0,0,0,0,0,0
120,0,0,0,0,8.45,10.95,1.35,0,0,0,0,0,0,2.05,4.4,0,0,2.43,0,0,1.02,38.96,0,0,0,0,0,10.6,0,0,0,0,0,4.93,0,0
