stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,49.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,53.07,7.02,0,0,4.96,0,0,0,0,0
 10-12,0,0,0,0,0,11.91,0,0,0,0,0,0,0,95.06,6.56,0,0,63.08,0,8.37,0,0,0
 14-21,0,0,0.96,0,0,1.4,0,0,0,0,0,0,0.98,1.16,0,0,0,0,0,0.88,0,1.82,0
 24-34,0,0,0,1.73,0,2.96,1.01,0,0,0.72,0,1.6,0,8.26,0,0,0,0,0,0,1.38,0.79,1.49
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.58,2.66,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.95,0.51,0,0,0,0,1.39,0,5.5,0,0.9,0,0,0,0,0,0,0
 60-70,0,0,0,2.17,0.61,0.99,0,0,0,0,3.3,0,0,4.11,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,2.58,0,0,1.05,0,0.73,0,0.7,0,0,0.51,0,0,0,0.81
 84-94,0,0,0,0,2.42,0,0,0.99,0,0,0,1.08,0,5.94,0,0,1.34,0,4.99,0,0,0,0
 96-106,0,0,0,0,3.37,3.97,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0.43,0,1.43,0,2.84,0,0,0,0
120,0,0,4.41,8.88,0,2.8,0,0,0,0,0,0,0,4.83,0,0,0,0,7.24,0,0,0,2.15
