stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,mesenchyme,muscle,neural,olfactory,pronephros,somites,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,31.88,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,11.66,0,5.88,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.87,0,0,3.18,0,0
 24-34,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0
 36-46,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,11.67,0,0,0,0.75,2.05,0,0,0,0,1.07
 60-70,0,0,0,0,0,0,1.47,0,1.1,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.6,0.86,4.3,0,0,0,0,7.71
 84-94,0,0,0.71,0,0,0,1.39,0,4.41,0,0,0,0,0
 96-106,0,2.68,2.87,0,0,0.95,3.91,0,2.62,0.56,0,0,0.72,0
108-118,1.22,0,3.41,0,0,0,6.36,0.46,3.53,0,0,0,0,0
