stage,endoderm,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,neural,olfactory,otic,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0.83,2.18,0.99,0,0,0,0,9.33,0,0,0,0,0,0
 24-34,0,0,0,0,0.63,0,0,3.17,1.22,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.88,11.01,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.46,0,4.11,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
 72-82,0,0,0,0.8,1.06,0,0,6.53,0,1.16,0,0,0,0
 84-94,0,0,0,8.35,0,0,3.39,0,0,0,0,0,0,0.65
 96-106,0,0,0,1.01,0,0,0,3.51,0,0,0,0.67,1.16,0
108-118,0,0.96,0,1.82,8.29,0,0,7.5,0,0,0.43,0,0,0
120,0,0,1.72,6.41,0,0,0,0,0,16.05,0,0,0,0
