stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,144.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,7.72,0,7.54,0,0,16.22,0,0,0,7.97,0,0,0,0,0,0,0,0,95.55,6.86,0,0,43.61,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.82,3.95,0,0,46.85,0,0,0,6.49,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,2.09,8.26,6.55,0,25.21,1.07,0,0,0,0,0,0,4.68,0,2.04,63.06,0,1.77,1.53,0.94,0,0,10.5,16.91,1.5,5.25,91.22,0,0,1.04,0
 24-34,0,0,0,0,0,0,5.78,0,27.24,0,0,0,0,0,0,0,2.99,0,0.75,78.04,2.28,6.07,0.98,0,0,0,0,11.98,0,0.98,43.74,0,0,0.74,0
 36-46,0,0,0,0,0.58,0,9.56,0,9.02,0,0,0,0,0,0,0,11.2,8.23,2.13,71.39,1.86,11.61,0,0,0,0,0,4,0,0,31.38,0,0,8.17,0
 48-58,0,0,0,0,6.05,0,27.53,0,24.44,0,0,0,0,0,0,0,9.79,0,0,50.67,0,9.01,7.55,0,0,2.13,0,4.81,0,0,30.85,0,0,0.78,0
 60-70,0,0,0,0,0,0,48.69,0.87,14.59,0,0,0,0,0,0,0.77,8.85,0,0.6,44.63,0,21.91,1.32,0,1.08,0,0,5.35,0,0,7.98,0,0,2.06,0
 72-82,0,0,1.17,0,0,0,20.88,0.57,16.01,0,0,0,0,0,0,1.05,22.38,0,4.09,25.17,0,12.36,4.65,0,0,0,0,0.86,0,0,3.52,0,0.5,0.99,0
 84-94,0,0,0,3.03,0,0,11.32,0.94,4.91,0,0,0,0,0,0.6,0.58,10.34,0,0.75,13.65,0,10.24,2.26,0,0,1.26,0,0.58,0,0,8.65,0,0.92,0,0
 96-106,0,0,0,0,2.88,0,8.65,0.74,18.18,1.13,0,0.62,0,0,0,4.19,23,0,0,18.99,0,18.81,5.21,0,0,0,0,1.44,0,0,7.65,0,0,2.33,2.56
108-118,0,0,0,0,0,0,3.68,0,13.22,0,0,0,0,0.52,1.26,1.15,14.09,0,3.53,31.18,0,8.21,5.85,0,7.71,4.05,0,0,0,0,0,0.67,1.98,0,2.22
120,0,0,0,0,7.74,0,3.54,2.45,2.04,0,0,0,6.11,0,0,4.83,22.02,0,1.49,45.97,0,1.5,0,0,0,0,0,4.05,0,0,0,0,0,0,0
